Sample ID,KRN,Population,USDA PI accession#,Note
Elite_2G7,12.8,Elite Inbred lines,PI601564,HB8229
Elite_1H4,17,Elite Inbred lines,PI601172,HBA1
Elite_1H7,13.7,Elite Inbred lines,PI601208,IB014
Elite_2E3,12,Elite Inbred lines,PI601457,IB02
Elite_2G8,14.2,Elite Inbred lines,PI601565,IBB14
Elite_2E4,14.1,Elite Inbred lines,PI601458,IBB15
Elite_2E5,12.9,Elite Inbred lines,PI601459,IBC2
Elite_3A8,12.6,Elite Inbred lines,PI601725,J8606
Elite_3A9,13.8,Elite Inbred lines,PI601726,L 127
Elite_3A10,13.2,Elite Inbred lines,PI601727,L 135
Elite_3A11,13.4,Elite Inbred lines,PI601728,L 139
Elite_1D6,15.3,Elite Inbred lines,PI550695,L 155
Elite_3D2,14.7,Elite Inbred lines,PI644101,LH1
Elite_1F6,16,Elite Inbred lines,PI600954,LH119
Elite_1G10,13.2,Elite Inbred lines,PI601079,LH123HT
Elite_1A4,11.1,Elite Inbred lines,PI538007,LH127
Elite_1C4,14.2,Elite Inbred lines,PI547086,LH128
Elite_1G2,15.8,Elite Inbred lines,PI601004,LH132
Elite_1G1,13.2,Elite Inbred lines,PI601003,LH143 CMS
Elite_1F11,13.7,Elite Inbred lines,PI600959,LH145
Elite_2D3,13.8,Elite Inbred lines,PI601402,LH146Ht
Elite_2F3,15.6,Elite Inbred lines,PI601493,LH149
Elite_1H12,18.2,Elite Inbred lines,PI601230,LH150
Elite_2D4,13.2,Elite Inbred lines,PI601403,LH156
Elite_1A7,13.2,Elite Inbred lines,PI539920,LH160
Elite_1A8,13.4,Elite Inbred lines,PI539921,LH162
Elite_1A9,15,Elite Inbred lines,PI539922,LH190
Elite_1B1,14.1,Elite Inbred lines,PI539925,LH191
Elite_1B2,16.1,Elite Inbred lines,PI539926,LH192
Elite_1B3,15.3,Elite Inbred lines,PI539927,LH193
Elite_1A10,16,Elite Inbred lines,PI539923,LH194
Elite_1A2,15.7,Elite Inbred lines,PI537097,LH195
Elite_1A5,17.3,Elite Inbred lines,PI538009,LH196
Elite_1A11,16.6,Elite Inbred lines,PI539924,LH202
Elite_1A3,14.6,Elite Inbred lines,PI537099,LH205
Elite_1C5,14.2,Elite Inbred lines,PI547088,LH208
Elite_1D7,12.3,Elite Inbred lines,PI552815,LH215
Elite_1A6,14.8,Elite Inbred lines,PI538011,LH220Ht
Elite_1F4,14.1,Elite Inbred lines,PI600791,LH38
Elite_1F5,14.7,Elite Inbred lines,PI600944,LH39
Elite_1F7,10.9,Elite Inbred lines,PI600955,LH51
Elite_2C6,9.4,Elite Inbred lines,PI601360,LH52
Elite_2A11,9.9,Elite Inbred lines,PI601316,LH54
Elite_2B1,10.8,Elite Inbred lines,PI601317,LH57
Elite_2E6,10.6,Elite Inbred lines,PI601466,LH59
Elite_2D5,13.7,Elite Inbred lines,PI601404,LH60
Elite_2D7,12.8,Elite Inbred lines,PI601416,LH61
Elite_2F4,10.8,Elite Inbred lines,PI601494,LH65
Elite_1F9,14,Elite Inbred lines,PI600957,LH74
Elite_1H2,19.6,Elite Inbred lines,PI601170,LH82
Elite_2D6,13.4,Elite Inbred lines,PI601405,LH85
Elite_1H3,14.7,Elite Inbred lines,PI601171,LH93
Elite_1D10,15,Elite Inbred lines,PI555650,LIBC 4
Elite_1F2,15.1,Elite Inbred lines,PI600755,LP1 CMS HT
Elite_1E12,14,Elite Inbred lines,PI600729,LP1 NR HT
Elite_2D2,17.7,Elite Inbred lines,PI601378,LP5
Elite_1C6,15.7,Elite Inbred lines,PI547107,Lp215D
Elite_1H8,12.3,Elite Inbred lines,PI601209,MBNA
Elite_2D12,16.8,Elite Inbred lines,PI601440,MBPM
Elite_1D4,14,Elite Inbred lines,PI548838,MBSJ
Elite_2G9,12.4,Elite Inbred lines,PI601566,MBST
Elite_1D5,16.3,Elite Inbred lines,PI548839,MBUB
Elite_1F8,12.3,Elite Inbred lines,PI600956,MDF-13D
Elite_1E10,12.3,Elite Inbred lines,PI583774,ML606
Elite_1D8,15,Elite Inbred lines,PI554615,MM402A
Elite_1B12,15.5,Elite Inbred lines,Mo17,Mo17
Elite_1C3,13.7,Elite Inbred lines,PI546485,NL001
Elite_1D12,13.9,Elite Inbred lines,PI559918,NQ508
Elite_2H8,12.7,Elite Inbred lines,PI601583,NS501
Elite_2D8,14.4,Elite Inbred lines,PI601417,NS701
Elite_2H9,12.6,Elite Inbred lines,PI601584,OQ603
Elite_2E1,16.4,Elite Inbred lines,PI601441,PB80
Elite_1E1,16.5,Elite Inbred lines,PI559935,PHBA6
Elite_2A2,14.9,Elite Inbred lines,PI601270,PHG29
Elite_1G6,13.6,Elite Inbred lines,PI601008,PHG35
Elite_1F12,13.8,Elite Inbred lines,PI600981,PHG39
Elite_2B2,15.1,Elite Inbred lines,PI601318,PHG47
Elite_1G4,14.3,Elite Inbred lines,PI601006,PHG50
Elite_1G12,12.6,Elite Inbred lines,PI601150,PHG71
Elite_2B3,14.6,Elite Inbred lines,PI601319,PHG72
Elite_1H11,13.8,Elite Inbred lines,PI601229,PHG83
Elite_2B4,15.1,Elite Inbred lines,PI601320,PHG84
Elite_2E2,15.4,Elite Inbred lines,PI601442,PHG86
Elite_2G10,13.4,Elite Inbred lines,PI601567,PHH93
Elite_3B3,13.9,Elite Inbred lines,PI601773,PHJ31
Elite_3B4,12.6,Elite Inbred lines,PI601774,PHJ33
Elite_2B5,12.2,Elite Inbred lines,PI601321,PHJ40
Elite_1B5,14,Elite Inbred lines,PI543840,PHJ65
Elite_3B5,17.8,Elite Inbred lines,PI601775,PHJ70
Elite_3B6,13.4,Elite Inbred lines,PI601776,PHJ75
Elite_1C7,13.8,Elite Inbred lines,PI548798,PHJ89
Elite_2E7,10.9,Elite Inbred lines,PI601467,PHK05
Elite_2E8,15.3,Elite Inbred lines,PI601468,PHK29
Elite_3B7,17,Elite Inbred lines,PI601777,PHK35
Elite_2F5,15.6,Elite Inbred lines,PI601495,PHK42
Elite_2F6,13.8,Elite Inbred lines,PI601496,PHK76
Elite_1C8,14.1,Elite Inbred lines,PI548800,PHK93
Elite_3B8,14.2,Elite Inbred lines,PI601778,PHM10
Elite_2G11,15.1,Elite Inbred lines,PI601568,PHM49
Elite_3B9,15,Elite Inbred lines,PI601779,PHM57
Elite_1C9,14.1,Elite Inbred lines,PI548801,PHM81
Elite_2F7,14.2,Elite Inbred lines,PI601497,PHN11
Elite_3B10,13.7,Elite Inbred lines,PI601780,PHN29
Elite_1B6,14.2,Elite Inbred lines,PI543843,PHN34
Elite_3B11,13,Elite Inbred lines,PI601781,PHN37
Elite_2G12,14.2,Elite Inbred lines,PI601569,PHN47
Elite_1C10,14.1,Elite Inbred lines,PI548802,PHN66
Elite_3C1,14.1,Elite Inbred lines,PI601782,PHN73
Elite_3C2,15.9,Elite Inbred lines,PI601783,PHN82
Elite_2H1,15.4,Elite Inbred lines,PI601570,PHP02
Elite_3C3,13.8,Elite Inbred lines,PI601784,PHP55
Elite_3C4,14.3,Elite Inbred lines,PI601785,PHP60
Elite_1B7,14.6,Elite Inbred lines,PI543846,PHP76
Elite_1E2,14,Elite Inbred lines,PI559944,PHP85
Elite_1E3,14.7,Elite Inbred lines,PI559945,PHPR5
Elite_2E9,16.7,Elite Inbred lines,PI601469,PHR25
Elite_1E4,13,Elite Inbred lines,PI559946,PHR30
Elite_2H2,14.1,Elite Inbred lines,PI601571,PHR32
Elite_2C7,13,Elite Inbred lines,PI601361,PHR36
Elite_2H3,14,Elite Inbred lines,PI601572,PHR47
Elite_1C11,15.8,Elite Inbred lines,PI548804,PHR55
Elite_1D1,13.2,Elite Inbred lines,PI548805,PHR58
Elite_3C5,14.8,Elite Inbred lines,PI601786,PHR62
Elite_3C6,16.7,Elite Inbred lines,PI601787,PHR63
Elite_2H4,14.8,Elite Inbred lines,PI601573,PHT10
Elite_3C7,15,Elite Inbred lines,PI601788,PHT22
Elite_2F8,15.8,Elite Inbred lines,PI601498,PHT55
Elite_2H5,12.9,Elite Inbred lines,PI601574,PHT60
Elite_1E5,13.7,Elite Inbred lines,PI559949,PHT69
Elite_2F9,13.4,Elite Inbred lines,PI601499,PHT77
Elite_1B8,13.9,Elite Inbred lines,PI543847,PHV07
Elite_3C8,15.3,Elite Inbred lines,PI601789,PHV37
Elite_1E6,13,Elite Inbred lines,PI559952,PHV53
Elite_2F10,16,Elite Inbred lines,PI601500,PHV63
Elite_2E10,14.2,Elite Inbred lines,PI601470,PHV78
Elite_1E7,14.3,Elite Inbred lines,PI559953,PHVA9
Elite_3C9,13.9,Elite Inbred lines,PI601790,PHW03
Elite_2C8,16.3,Elite Inbred lines,PI601362,PHW17
Elite_3C10,16.9,Elite Inbred lines,PI601791,PHW20
Elite_1D2,14.6,Elite Inbred lines,PI548808,PHW30
Elite_3C11,16.7,Elite Inbred lines,PI601792,PHW43
Elite_1B9,13.8,Elite Inbred lines,PI543849,PHW51
Elite_2H6,14.4,Elite Inbred lines,PI601575,PHW52
Elite_2F11,16.8,Elite Inbred lines,PI601501,PHW65
Elite_2H7,13.1,Elite Inbred lines,PI601576,PHW79
Elite_1E8,12.7,Elite Inbred lines,PI559954,PHWG5
Elite_2B6,12.6,Elite Inbred lines,PI601322,PHZ51
Elite_1H5,13.8,Elite Inbred lines,PI601190,Q381
Elite_1B4,16.4,Elite Inbred lines,PI539930,RS 710
Elite_2H11,15.8,Elite Inbred lines,PI601611,S8324
Elite_2H12,13.8,Elite Inbred lines,PI601612,S8326
Elite_1F1,10.8,Elite Inbred lines,PI600751,Seagull Seventeen
Elite_2F12,17.4,Elite Inbred lines,PI601502,W8304
Elite_3B1,17.1,Elite Inbred lines,PI601729,W8555
Elite_3A6,14.3,Elite Inbred lines,PI601689,WIL500
Elite_3A3,12.1,Elite Inbred lines,PI601684,WIL900
Elite_3A4,12.3,Elite Inbred lines,PI601685,WIL901
Elite_3A5,12.1,Elite Inbred lines,PI601686,WIL903
Elite_1E11,13.8,Elite Inbred lines,PI595616,ZS01250
XBSA_1A1,23,USDA Extreme KRN accessions,Ames12732,High KRN
XBSA_6A7,16,USDA Extreme KRN accessions,Ames12736,Random KRN
XBSA_1H2,20,USDA Extreme KRN accessions,Ames15667,High KRN
XBSA_1H3,21,USDA Extreme KRN accessions,Ames15668,High KRN
XBSA_4G1,9,USDA Extreme KRN accessions,Ames18999,Low KRN
XBSA_1A2,21,USDA Extreme KRN accessions,Ames21961,High KRN
XBSA_4A1,7,USDA Extreme KRN accessions,Ames21969,Low KRN
XBSA_4G2,7,USDA Extreme KRN accessions,Ames21971,Low KRN
XBSA_4G3,9,USDA Extreme KRN accessions,Ames21974,Low KRN
XBSA_4G4,8,USDA Extreme KRN accessions,Ames21976,Low KRN
XBSA_6A6,17,USDA Extreme KRN accessions,Ames21977,Random KRN
XBSA_6A5,12,USDA Extreme KRN accessions,Ames22012,Random KRN
XBSA_4H1,9,USDA Extreme KRN accessions,Ames22035,Low KRN
XBSA_4H2,9,USDA Extreme KRN accessions,Ames22049,Low KRN
XBSA_6H4,10,USDA Extreme KRN accessions,Ames22053,Random KRN
XBSA_4H3,9,USDA Extreme KRN accessions,Ames22054,Low KRN
XBSA_6H3,14,USDA Extreme KRN accessions,Ames22062,Random KRN
XBSA_4A2,6,USDA Extreme KRN accessions,Ames22640,Low KRN
XBSA_6H2,15,USDA Extreme KRN accessions,Ames22752,Random KRN
XBSA_6B5,15,USDA Extreme KRN accessions,Ames2337,Random KRN
XBSA_6H1,14,USDA Extreme KRN accessions,Ames23400,Random KRN
XBSA_1H4,20,USDA Extreme KRN accessions,Ames23428,High KRN
XBSA_4H4,8,USDA Extreme KRN accessions,Ames23478,Low KRN
XBSA_6G4,14,USDA Extreme KRN accessions,Ames23502,Random KRN
XBSA_4A5,9,USDA Extreme KRN accessions,Ames23506,Low KRN
XBSA_4A6,9,USDA Extreme KRN accessions,Ames23507,Low KRN
XBSA_4F1,8,USDA Extreme KRN accessions,Ames2355,Low KRN
XBSA_6G3,17,USDA Extreme KRN accessions,Ames24590,Random KRN
XBSA_6G2,13,USDA Extreme KRN accessions,Ames24731,Random KRN
XBSA_6G1,12,USDA Extreme KRN accessions,Ames24741,Random KRN
XBSA_4A7,9,USDA Extreme KRN accessions,Ames24975,Low KRN
XBSA_6F4,14,USDA Extreme KRN accessions,Ames25208,Random KRN
XBSA_6F3,16,USDA Extreme KRN accessions,Ames25216,Random KRN
XBSA_4A8,9,USDA Extreme KRN accessions,Ames25368,Low KRN
XBSA_4B5,9,USDA Extreme KRN accessions,Ames25369,Low KRN
XBSA_6F2,15,USDA Extreme KRN accessions,Ames25374,Random KRN
XBSA_1A5,21,USDA Extreme KRN accessions,Ames26004,High KRN
XBSA_6F1,15,USDA Extreme KRN accessions,Ames26754,Random KRN
XBSA_1A6,18.5,USDA Extreme KRN accessions,Ames26780,High KRN
XBSA_6E4,15,USDA Extreme KRN accessions,Ames26783,Random KRN
XBSA_4A3,8,USDA Extreme KRN accessions,Ames26976,Low KRN
XBSA_4A4,8,USDA Extreme KRN accessions,Ames26977,Low KRN
XBSA_4B6,9,USDA Extreme KRN accessions,Ames26978,Low KRN
XBSA_4B1,8,USDA Extreme KRN accessions,Ames27071,Low KRN
XBSA_1A7,20,USDA Extreme KRN accessions,Ames27117,High KRN
XBSA_1A8,20,USDA Extreme KRN accessions,Ames27136,High KRN
XBSA_1B5,19,USDA Extreme KRN accessions,Ames27159,High KRN
XBSA_1B6,19,USDA Extreme KRN accessions,Ames27160,High KRN
XBSA_6E3,13,USDA Extreme KRN accessions,Ames27177,Random KRN
XBSA_6E2,10,USDA Extreme KRN accessions,Ames27196,Random KRN
XBSA_4B7,9,USDA Extreme KRN accessions,Ames27258,Low KRN
XBSA_6E1,11,USDA Extreme KRN accessions,Ames27259,Random KRN
XBSA_4F2,8,USDA Extreme KRN accessions,Ames2753,Low KRN
XBSA_4F3,9,USDA Extreme KRN accessions,Ames2754,Low KRN
XBSA_4F4,8,USDA Extreme KRN accessions,Ames2757,Low KRN
XBSA_6D4,16,USDA Extreme KRN accessions,Ames28413,Random KRN
XBSA_1B7,21,USDA Extreme KRN accessions,Ames28771,High KRN
XBSA_1B8,19,USDA Extreme KRN accessions,Ames28772,High KRN
XBSA_1C5,19,USDA Extreme KRN accessions,Ames28941,High KRN
XBSA_6D3,15,USDA Extreme KRN accessions,Ames28942,Random KRN
XBSA_6D2,16,USDA Extreme KRN accessions,Ames28946,Random KRN
XBSA_1C6,19,USDA Extreme KRN accessions,Ames28948,High KRN
XBSA_6D1,15,USDA Extreme KRN accessions,Ames28951,Random KRN
XBSA_6C4,13,USDA Extreme KRN accessions,Ames28981,Random KRN
XBSA_6C3,15,USDA Extreme KRN accessions,Ames28983,Random KRN
XBSA_1C7,19,USDA Extreme KRN accessions,Ames29308,High KRN
XBSA_6A8,14,USDA Extreme KRN accessions,Ames3125,Random KRN
XBSA_6C2,17,USDA Extreme KRN accessions,CIze23,Random KRN
XBSA_1C8,19,USDA Extreme KRN accessions,CIze49,High KRN
XBSA_4D7,8,USDA Extreme KRN accessions,NSL202125,Low KRN
XBSA_7B2,16,USDA Extreme KRN accessions,NSL246154,Random KRN
XBSA_4D8,8,USDA Extreme KRN accessions,NSL250323,Low KRN
XBSA_7B1,13,USDA Extreme KRN accessions,NSL283388,Random KRN
XBSA_1F5,20,USDA Extreme KRN accessions,NSL283395,High KRN
XBSA_1D6,19,USDA Extreme KRN accessions,NSL28968,High KRN
XBSA_6C1,16,USDA Extreme KRN accessions,NSL29305,Random KRN
XBSA_6B4,13,USDA Extreme KRN accessions,NSL30054,Random KRN
XBSA_6B3,16,USDA Extreme KRN accessions,NSL30061,Random KRN
XBSA_1D7,19,USDA Extreme KRN accessions,NSL30874,High KRN
XBSA_1D8,19,USDA Extreme KRN accessions,NSL30876,High KRN
XBSA_1E5,19,USDA Extreme KRN accessions,NSL30880,High KRN
XBSA_1A3,22,USDA Extreme KRN accessions,NSL30903,High KRN
XBSA_4C7,9,USDA Extreme KRN accessions,NSL32721,Low KRN
XBSA_6B2,13,USDA Extreme KRN accessions,NSL32723,Random KRN
XBSA_4C8,9,USDA Extreme KRN accessions,NSL34753,Low KRN
XBSA_1E6,19,USDA Extreme KRN accessions,NSL42707,High KRN
XBSA_6B1,10,USDA Extreme KRN accessions,NSL42723,Random KRN
XBSA_4D5,8,USDA Extreme KRN accessions,NSL42730,Low KRN
XBSA_6A4,13,USDA Extreme KRN accessions,NSL42747,Random KRN
XBSA_1E7,19,USDA Extreme KRN accessions,NSL42751,High KRN
XBSA_6A3,17,USDA Extreme KRN accessions,NSL42805,Random KRN
XBSA_6A2,11,USDA Extreme KRN accessions,NSL42808,Random KRN
XBSA_1E8,19,USDA Extreme KRN accessions,NSL42809,High KRN
XBSA_1F6,18,USDA Extreme KRN accessions,NSL437896,High KRN
XBSA_7A4,15,USDA Extreme KRN accessions,NSL437897,Random KRN
XBSA_7A3,11,USDA Extreme KRN accessions,NSL437982,Random KRN
XBSA_1D5,21,USDA Extreme KRN accessions,NSL5613,High KRN
XBSA_4B8,9,USDA Extreme KRN accessions,NSL5623,Low KRN
XBSA_1A4,23,USDA Extreme KRN accessions,NSL5780,High KRN
XBSA_4C5,9,USDA Extreme KRN accessions,NSL6540,Low KRN
XBSA_6A1,16,USDA Extreme KRN accessions,NSL67796,Random KRN
XBSA_1B1,26,USDA Extreme KRN accessions,NSL6879,High KRN
XBSA_7B4,16,USDA Extreme KRN accessions,NSL73312,Random KRN
XBSA_7B3,16,USDA Extreme KRN accessions,NSL73323,Random KRN
XBSA_4C6,9,USDA Extreme KRN accessions,NSL8582,Low KRN
XBSA_4D6,9,USDA Extreme KRN accessions,NSL92578,Low KRN
XBSA_4E5,9,USDA Extreme KRN accessions,PI162573,Low KRN
XBSA_1F7,21,USDA Extreme KRN accessions,PI162575,High KRN
XBSA_1F8,20,USDA Extreme KRN accessions,PI166042,High KRN
XBSA_7A2,10,USDA Extreme KRN accessions,PI167955,Random KRN
XBSA_7A1,14,USDA Extreme KRN accessions,PI167963,Random KRN
XBSA_4E6,9,USDA Extreme KRN accessions,PI167972,Low KRN
XBSA_4E7,9,USDA Extreme KRN accessions,PI167977,Low KRN
XBSA_6H8,12,USDA Extreme KRN accessions,PI167984,Random KRN
XBSA_4E8,9,USDA Extreme KRN accessions,PI167991,Low KRN
XBSA_4F5,9,USDA Extreme KRN accessions,PI168001,Low KRN
XBSA_6H7,17,USDA Extreme KRN accessions,PI168008,Random KRN
XBSA_4F6,9,USDA Extreme KRN accessions,PI168045,Low KRN
XBSA_4F7,9,USDA Extreme KRN accessions,PI170882,Low KRN
XBSA_4F8,9,USDA Extreme KRN accessions,PI170883,Low KRN
XBSA_1G5,19,USDA Extreme KRN accessions,PI171908,High KRN
XBSA_6H6,14,USDA Extreme KRN accessions,PI171918,Random KRN
XBSA_4G5,9,USDA Extreme KRN accessions,PI172330,Low KRN
XBSA_4G6,9,USDA Extreme KRN accessions,PI172597,Low KRN
XBSA_4G7,9,USDA Extreme KRN accessions,PI175981,Low KRN
XBSA_1B2,22,USDA Extreme KRN accessions,PI176804,High KRN
XBSA_6H5,22,USDA Extreme KRN accessions,PI176804,Random KRN
XBSA_6G8,15,USDA Extreme KRN accessions,PI177620,Random KRN
XBSA_6G7,15,USDA Extreme KRN accessions,PI180231,Random KRN
XBSA_4G8,9,USDA Extreme KRN accessions,PI183639,Low KRN
XBSA_4H5,9,USDA Extreme KRN accessions,PI183735,Low KRN
XBSA_6G6,9,USDA Extreme KRN accessions,PI183748,Random KRN
XBSA_6G5,13,USDA Extreme KRN accessions,PI183810,Random KRN
XBSA_4H6,9,USDA Extreme KRN accessions,PI184284,Low KRN
XBSA_4H7,9,USDA Extreme KRN accessions,PI185048,Low KRN
XBSA_4H8,9,USDA Extreme KRN accessions,PI185061,Low KRN
XBSA_4A9,9,USDA Extreme KRN accessions,PI185072,Low KRN
XBSA_1G6,19,USDA Extreme KRN accessions,PI185618,High KRN
XBSA_4A10,9,USDA Extreme KRN accessions,PI185847,Low KRN
XBSA_4A11,9,USDA Extreme KRN accessions,PI185854,Low KRN
XBSA_3B8,9,USDA Extreme KRN accessions,PI185855,Low KRN
XBSA_1G7,20,USDA Extreme KRN accessions,PI186185,High KRN
XBSA_1G8,19,USDA Extreme KRN accessions,PI186198,High KRN
XBSA_6F8,11,USDA Extreme KRN accessions,PI186210,Random KRN
XBSA_1H5,21,USDA Extreme KRN accessions,PI186217,High KRN
XBSA_6F7,14,USDA Extreme KRN accessions,PI186219,Random KRN
XBSA_1H6,21,USDA Extreme KRN accessions,PI186226,High KRN
XBSA_1H7,21,USDA Extreme KRN accessions,PI193424,High KRN
XBSA_6F6,17,USDA Extreme KRN accessions,PI193432,Random KRN
XBSA_4B9,9,USDA Extreme KRN accessions,PI193435,Low KRN
XBSA_6F5,15,USDA Extreme KRN accessions,PI195113,Random KRN
XBSA_1H8,21,USDA Extreme KRN accessions,PI195234,High KRN
XBSA_4B10,9,USDA Extreme KRN accessions,PI198889,Low KRN
XBSA_1B3,22,USDA Extreme KRN accessions,PI198893,High KRN
XBSA_1A9,18,USDA Extreme KRN accessions,PI200181,High KRN
XBSA_6E8,16,USDA Extreme KRN accessions,PI200290,Random KRN
XBSA_4B11,9,USDA Extreme KRN accessions,PI200293,Low KRN
XBSA_6E7,11,USDA Extreme KRN accessions,PI200295,Random KRN
XBSA_6E6,11,USDA Extreme KRN accessions,PI200303,Random KRN
XBSA_3C8,9,USDA Extreme KRN accessions,PI201555,Low KRN
XBSA_4C9,9,USDA Extreme KRN accessions,PI201559,Low KRN
XBSA_1A11,18,USDA Extreme KRN accessions,PI201844,High KRN
XBSA_4C10,9,USDA Extreme KRN accessions,PI203329,Low KRN
XBSA_4C11,9,USDA Extreme KRN accessions,PI204791,Low KRN
XBSA_3D8,9,USDA Extreme KRN accessions,PI204792,Low KRN
XBSA_4D9,9,USDA Extreme KRN accessions,PI204795,Low KRN
XBSA_1A12,18,USDA Extreme KRN accessions,PI204802,High KRN
XBSA_6E5,15,USDA Extreme KRN accessions,PI204810,Random KRN
XBSA_6D8,12,USDA Extreme KRN accessions,PI204815,Random KRN
XBSA_6D7,15,USDA Extreme KRN accessions,PI204842,Random KRN
XBSA_1B9,18,USDA Extreme KRN accessions,PI208473,High KRN
XBSA_1B10,18,USDA Extreme KRN accessions,PI208913,High KRN
XBSA_6D6,13,USDA Extreme KRN accessions,PI209135,Random KRN
XBSA_4D10,9,USDA Extreme KRN accessions,PI210399,Low KRN
XBSA_1B11,19,USDA Extreme KRN accessions,PI213699,High KRN
XBSA_1B12,18,USDA Extreme KRN accessions,PI213702,High KRN
XBSA_1C9,21,USDA Extreme KRN accessions,PI213707,High KRN
XBSA_1C10,19,USDA Extreme KRN accessions,PI213708,High KRN
XBSA_1C11,19,USDA Extreme KRN accessions,PI213709,High KRN
XBSA_1C12,18,USDA Extreme KRN accessions,PI213710,High KRN
XBSA_1D9,20,USDA Extreme KRN accessions,PI213715,High KRN
XBSA_1D10,20,USDA Extreme KRN accessions,PI213716,High KRN
XBSA_1D11,19,USDA Extreme KRN accessions,PI213717,High KRN
XBSA_1D12,18,USDA Extreme KRN accessions,PI213718,High KRN
XBSA_1E9,19,USDA Extreme KRN accessions,PI213720,High KRN
XBSA_1E10,18,USDA Extreme KRN accessions,PI213722,High KRN
XBSA_1B4,23,USDA Extreme KRN accessions,PI213727,High KRN
XBSA_1E11,18,USDA Extreme KRN accessions,PI213742,High KRN
XBSA_4D11,9,USDA Extreme KRN accessions,PI213745,Low KRN
XBSA_4D12,9,USDA Extreme KRN accessions,PI213746,Low KRN
XBSA_4E9,9,USDA Extreme KRN accessions,PI213747,Low KRN
XBSA_4E10,9,USDA Extreme KRN accessions,PI213748,Low KRN
XBSA_4B2,6,USDA Extreme KRN accessions,PI213757,Low KRN
XBSA_4E11,9,USDA Extreme KRN accessions,PI213758,Low KRN
XBSA_4E12,9,USDA Extreme KRN accessions,PI213759,Low KRN
XBSA_4F9,9,USDA Extreme KRN accessions,PI213764,Low KRN
XBSA_4F10,9,USDA Extreme KRN accessions,PI213765,Low KRN
XBSA_4F11,9,USDA Extreme KRN accessions,PI213768,Low KRN
XBSA_4F12,9,USDA Extreme KRN accessions,PI213769,Low KRN
XBSA_4G9,9,USDA Extreme KRN accessions,PI213771,Low KRN
XBSA_4G10,8,USDA Extreme KRN accessions,PI213772,Low KRN
XBSA_4G11,9,USDA Extreme KRN accessions,PI213773,Low KRN
XBSA_6D5,10,USDA Extreme KRN accessions,PI213778,Random KRN
XBSA_4G12,9,USDA Extreme KRN accessions,PI213793,Low KRN
XBSA_4H9,9,USDA Extreme KRN accessions,PI213796,Low KRN
XBSA_4H10,9,USDA Extreme KRN accessions,PI213797,Low KRN
