bin10,chr,pos,Strand,A1,A2,N,effB,se_effB,chi2.1df,P1df,effAB,effBB,chi2.2df,P2df,Pc1df,qval,snpid,plossnpid,ploschr,plospos,effect,p.value,dir
3_16589477,3,165894770,u,1,2,531,-2.58784842718012,0.613028940860621,17.8203289127613,2.42775503593319e-05,-2.86177730192719,-3.26177730192719,18.572027204238,9.27119111646255e-05,0.128748342379742,0.00019075218139475,3_165894770,3_165894770,3,165894770,-0.188176445,2.69e-20,-0.486972117225596
4_20019006,4,200190059,u,1,2,543,-1.02539526712824,0.484613579689131,4.47704498167237,0.0343530687683059,-1.10127360171001,1.03214285714286,5.28278037186835,0.0712621330482597,0.446419392013726,0.0785222816198095,4_200190059,4_200190059,4,200190059,-0.330718723,5.97e-59,-0.339117413314896
4_23411817,4,234118166,u,1,2,566,1.27801991824936,0.565291513020586,5.11128755366355,0.0237706730206008,1.53860236426405,-0.596418732782368,6.5096496651757,0.0385875793578226,0.415906118730376,0.0622565245777641,4_234118166,4_234118166,4,234118166,-0.23825412,1.93e-11,0.304493510964974
4_537893,4,5378934,u,1,2,555,-0.215049507607264,0.431553471178833,0.248317699775963,0.618262135583384,-0.112545383997118,-5.22511848341232,2.18384043484322,0.335571504396125,0.857689328594091,0.693967703205839,4_5378934,4_5378934,4,5378934,-0.123241204,2.4e-09,-0.0265029602371264
5_1546395,5,15463951,u,1,2,556,-1.4345718901454,0.480227151427542,8.92382842705723,0.00281473858985068,-1.84693174209303,1.33341013824885,13.2149146964914,0.00135026103191915,0.282393418918997,0.0106765946511577,5_15463951,5_15463951,5,15463951,-0.200569815,2.19e-14,-0.287731818610662
5_21305900,5,213059005,u,1,2,566,1.11840734074084,0.437614073995114,6.53156805498211,0.0105976492423965,1.10507950467382,2.73342175066313,6.55246712054214,0.0377702486024559,0.357753313738867,0.0323817060184337,5_213059005,5_213059003,5,213059003,0.402422246,7.69e-15,-0.450071994003817
5_21305900,5,213058999,u,1,2,566,-1.56461138672336,0.646415925613595,5.85853296683887,0.0155017093191901,-1.56461138672336,NA,5.85853296683891,0.0155017093191897,0.383762610265421,0.044873369081866,5_213058999,5_213059003,5,213059003,0.402422246,7.69e-15,0.62963442836239
5_21326017,5,213260166,u,1,2,563,-1.10579991929271,0.359835219639656,9.44377802832133,0.00211866610772885,-1.32802184483324,-1.64489358854236,10.2567287489836,0.00592624566943072,0.268799544724261,0.00863160266111753,5_213260166,5_213260166,5,213260166,0.269154819,2.4e-15,0.297631377127445
5_21326017,5,213260167,u,1,2,564,-1.50680054369273,0.352044799005582,18.3195866914918,1.86776933434954e-05,-1.73117032758671,-2.5536498036498,19.0526211969615,7.29081157138974e-05,0.123514453567782,0.000158042020598807,5_213260167,5_213260166,5,213260166,0.269154819,2.4e-15,0.405562627606717
5_6151617,5,61516168,u,1,2,561,-2.91292652935752,0.599601410815936,23.6011828536001,1.18514641602102e-06,-3.10036385688296,-4.72794117647059,24.1872227731987,5.59514451848419e-06,0.0804351419846182,1.6295763220289e-05,5_61516168,5_61516168,5,61516168,-0.23352524,1.96e-18,-0.680241866870581
5_661858,5,6618580,u,1,2,525,-0.538292714884696,0.377993401965854,2.02800287449122,0.154423413996617,NA,-1.07658542976939,4,0.0455002638963585,0.608337113660282,0.215383636344959,5_6618580,5_6618581,5,6618581,0.222225386,9.26e-10,0.119622306346239
5_668348,5,6683485,u,1,2,562,0.837746191007061,0.571674833203676,2.14746837252947,0.142805192271517,0.920267489711934,0.989711934156379,2.24145759427695,0.326042089472314,0.597967056540882,0.206691725656143,5_6683485,5_6683485,5,6683485,-0.20931621,1.71e-10,0.175353857643534
5_7713107,5,77131074,u,1,2,385,-1.90946052345786,0.362081312809692,27.8105223293654,1.33796447174673e-07,-0.921712947474074,-3.50749536178108,29.0423201310559,4.93787751199666e-07,0.0577396395476215,2.8074747942966e-06,5_77131074,5_77131074,5,77131074,-0.17243251,4.34e-21,-0.329253070805753
5_933202,5,9332024,u,1,2,514,-0.826692293268326,0.549978897064711,2.25941353727764,0.132804345653175,-1.59922985781991,1.52083333333333,10.682776258237,0.00478921804096522,0.588579193973287,0.19477970695799,5_9332024,5_9332023,5,9332023,-0.224374655,2.55e-10,-0.18548879809324
6_8968682,6,89686818,u,1,2,438,-0.483515097415199,0.319073971841698,2.29634597764132,0.12967875193615,-0.213730090134584,-1.08516483516484,2.73906194933452,0.254226170108256,0.585547932919586,0.194337270592422,6_89686818,6_89686818,6,89686818,-0.115667611,6e-08,-0.0559270362004483
7_12270137,7,122701373,u,1,2,561,-0.821281523417395,0.573880781660431,2.04805088466859,0.152401189401597,-0.957658718477088,3.72257383966245,3.25597241410224,0.196324533271258,0.606570309282539,0.215383636344959,7_122701373,7_122701373,7,122701373,0.249988303,4.15e-10,0.205310774324369
7_16466158,7,164661579,u,1,2,557,-0.656826417459065,0.252060688596945,6.79033165516069,0.0091652879400915,2.32886362011013,-1.12688960146587,44.3456850803928,2.34669601952536e-10,0.348401300627395,0.028805190668859,7_164661579,7_164661579,7,164661579,-0.11894093,5.04e-13,-0.0781235449411494
8_16802031,8,168020311,u,1,2,535,0.399635772589218,0.280805226834257,2.02543512780166,0.154684611556834,NA,0.799271545178437,0,1,0.608564201543627,0.215383636344959,8_168020311,8_168020311,8,168020311,0.16003353,1.38e-24,-0.0639551234017298
8_16919215,8,169192148,u,1,2,503,-0.819238587278734,0.508263178574117,2.59802606418433,0.106996904617788,-0.694626675735568,-8.03916449086162,4.35744393565101,0.113186093712114,0.561905835727894,0.17566655982025,8_169192148,8_169192148,8,169192148,0.153527076,4.83e-17,0.125775304851275
9_13994875,9,139948749,u,1,2,563,0.211561561561563,0.411472630141916,0.26435749178779,0.60714218011527,-0.00660229059061201,1.6431693989071,1.58325187172675,0.453107472335648,0.853215645054259,0.688511750646183,9_139948749,9_139948749,9,139948749,-0.191799498,9.52e-22,0.0405774013036039
9_649130,9,6491295,u,1,2,508,-0.441498455168812,0.280956589639605,2.46933454092288,0.116087064079075,0.296498692376751,-0.806529673119645,4.76567952452725,0.0922881286953441,0.571757320707353,0.182422529267118,9_6491295,9_6491295,9,6491295,-0.173442012,3.12e-24,-0.0765743803593706
9_649130,9,6491298,u,1,2,523,1.58224869475697,0.689559527760883,5.26509200929402,0.0217572726177664,1.89245014245014,-4.73717948717949,7.99416421301204,0.0183691600187906,0.408977862142011,0.0583731704379098,9_6491298,9_6491295,9,6491295,-0.173442012,3.12e-24,0.274428397103022
9_649162,9,6491625,u,1,2,542,-0.853023179532033,0.431360236846366,3.9105824527376,0.047982964818311,-1.59722911497105,-0.146313364055299,10.7558784288085,0.00461732745411332,0.476711718352735,0.0942522523216823,9_6491625,9_6491625,9,6491625,-0.182023038,1.5e-28,-0.15526987062284
