type,Genotype,Population,Subpopulation,Internal_id,accessionID,KRN
GWAS population,B73xZ004E0190,BxRIL,Z004,B73xZ004E0190,NA,18.7
GWAS population,B73xZ004E0191,BxRIL,Z004,B73xZ004E0191,NA,16.3
GWAS population,B73xZ004E0199,BxRIL,Z004,B73xZ004E0199,NA,18.3
GWAS population,B73xZ005E0012,BxRIL,Z005,B73xZ005E0012,NA,16.7
GWAS population,B73xZ005E0013,BxRIL,Z005,B73xZ005E0013,NA,16
GWAS population,B73xZ005E0014,BxRIL,Z005,B73xZ005E0014,NA,15.7
GWAS population,B73xZ005E0027,BxRIL,Z005,B73xZ005E0027,NA,18.4
GWAS population,B73xZ005E0042,BxRIL,Z005,B73xZ005E0042,NA,15
GWAS population,B73xZ005E0043,BxRIL,Z005,B73xZ005E0043,NA,17.6
GWAS population,B73xZ005E0055,BxRIL,Z005,B73xZ005E0055,NA,16.3
GWAS population,B73xZ005E0063,BxRIL,Z005,B73xZ005E0063,NA,16.4
GWAS population,B73xZ005E0066,BxRIL,Z005,B73xZ005E0066,NA,18
GWAS population,B73xZ005E0075,BxRIL,Z005,B73xZ005E0075,NA,16
GWAS population,B73xZ005E0079,BxRIL,Z005,B73xZ005E0079,NA,15.7
GWAS population,B73xZ005E0083,BxRIL,Z005,B73xZ005E0083,NA,16
GWAS population,B73xZ005E0093,BxRIL,Z005,B73xZ005E0093,NA,16.3
GWAS population,B73xZ005E0096,BxRIL,Z005,B73xZ005E0096,NA,16
GWAS population,B73xZ005E0097,BxRIL,Z005,B73xZ005E0097,NA,17.3
GWAS population,B73xZ005E0099,BxRIL,Z005,B73xZ005E0099,NA,16.3
GWAS population,B73xZ005E0100,BxRIL,Z005,B73xZ005E0100,NA,16.7
GWAS population,B73xZ005E0111,BxRIL,Z005,B73xZ005E0111,NA,15
GWAS population,B73xZ005E0112,BxRIL,Z005,B73xZ005E0112,NA,17.3
GWAS population,B73xZ005E0113,BxRIL,Z005,B73xZ005E0113,NA,16.3
GWAS population,B73xZ005E0117,BxRIL,Z005,B73xZ005E0117,NA,16.7
GWAS population,B73xZ005E0139,BxRIL,Z005,B73xZ005E0139,NA,16.3
GWAS population,B73xZ005E0149,BxRIL,Z005,B73xZ005E0149,NA,17.6
GWAS population,B73xZ005E0155,BxRIL,Z005,B73xZ005E0155,NA,15.6
GWAS population,B73xZ005E0173,BxRIL,Z005,B73xZ005E0173,NA,15.3
GWAS population,B73xZ006E0012,BxRIL,Z006,B73xZ006E0012,NA,17.6
GWAS population,B73xZ006E0016,BxRIL,Z006,B73xZ006E0016,NA,17.6
GWAS population,B73xZ006E0027,BxRIL,Z006,B73xZ006E0027,NA,18
GWAS population,B73xZ006E0028,BxRIL,Z006,B73xZ006E0028,NA,16.7
GWAS population,B73xZ006E0041,BxRIL,Z006,B73xZ006E0041,NA,19.7
GWAS population,B73xZ006E0088,BxRIL,Z006,B73xZ006E0088,NA,17.2
GWAS population,B73xZ006E0124,BxRIL,Z006,B73xZ006E0124,NA,17.2
GWAS population,B73xZ006E0125,BxRIL,Z006,B73xZ006E0125,NA,14.7
GWAS population,B73xZ006E0154,BxRIL,Z006,B73xZ006E0154,NA,20
GWAS population,B73xZ006E0171,BxRIL,Z006,B73xZ006E0171,NA,16.7
GWAS population,B73xZ006E0193,BxRIL,Z006,B73xZ006E0193,NA,15.7
GWAS population,B73xZ006E0196,BxRIL,Z006,B73xZ006E0196,NA,16
GWAS population,B73xZ007E0015,BxRIL,Z007,B73xZ007E0015,NA,17.3
GWAS population,B73xZ007E0117,BxRIL,Z007,B73xZ007E0117,NA,14.8
GWAS population,B73xZ008E0006,BxRIL,Z008,B73xZ008E0006,NA,17
GWAS population,B73xZ008E0009,BxRIL,Z008,B73xZ008E0009,NA,15.7
GWAS population,B73xZ008E0013,BxRIL,Z008,B73xZ008E0013,NA,14.8
GWAS population,B73xZ008E0017,BxRIL,Z008,B73xZ008E0017,NA,15.7
GWAS population,B73xZ008E0040,BxRIL,Z008,B73xZ008E0040,NA,16
GWAS population,B73xZ008E0041,BxRIL,Z008,B73xZ008E0041,NA,14.3
GWAS population,B73xZ008E0047,BxRIL,Z008,B73xZ008E0047,NA,16
GWAS population,B73xZ008E0054,BxRIL,Z008,B73xZ008E0054,NA,18
GWAS population,B73xZ008E0056,BxRIL,Z008,B73xZ008E0056,NA,16
GWAS population,B73xZ008E0062,BxRIL,Z008,B73xZ008E0062,NA,16.7
GWAS population,B73xZ008E0064,BxRIL,Z008,B73xZ008E0064,NA,16
GWAS population,B73xZ008E0075,BxRIL,Z008,B73xZ008E0075,NA,15
GWAS population,B73xZ008E0094,BxRIL,Z008,B73xZ008E0094,NA,16.7
GWAS population,B73xZ008E0099,BxRIL,Z008,B73xZ008E0099,NA,16.4
GWAS population,B73xZ008E0123,BxRIL,Z008,B73xZ008E0123,NA,19
GWAS population,B73xZ008E0127,BxRIL,Z008,B73xZ008E0127,NA,15.2
GWAS population,B73xZ008E0134,BxRIL,Z008,B73xZ008E0134,NA,16
GWAS population,B73xZ008E0139,BxRIL,Z008,B73xZ008E0139,NA,16.7
GWAS population,B73xZ008E0141,BxRIL,Z008,B73xZ008E0141,NA,16
GWAS population,B73xZ008E0177,BxRIL,Z008,B73xZ008E0177,NA,16.7
GWAS population,B73xZ008E0183,BxRIL,Z008,B73xZ008E0183,NA,14.5
GWAS population,B73xZ009E0015,BxRIL,Z009,B73xZ009E0015,NA,15
GWAS population,B73xZ009E0025,BxRIL,Z009,B73xZ009E0025,NA,17
GWAS population,B73xZ009E0031,BxRIL,Z009,B73xZ009E0031,NA,14.7
GWAS population,B73xZ009E0051,BxRIL,Z009,B73xZ009E0051,NA,16
GWAS population,B73xZ009E0055,BxRIL,Z009,B73xZ009E0055,NA,15.7
GWAS population,B73xZ009E0063,BxRIL,Z009,B73xZ009E0063,NA,16.3
GWAS population,B73xZ009E0095,BxRIL,Z009,B73xZ009E0095,NA,16
GWAS population,B73xZ009E0114,BxRIL,Z009,B73xZ009E0114,NA,16
GWAS population,B73xZ009E0125,BxRIL,Z009,B73xZ009E0125,NA,14.4
GWAS population,B73xZ009E0133,BxRIL,Z009,B73xZ009E0133,NA,15.5
GWAS population,B73xZ009E0136,BxRIL,Z009,B73xZ009E0136,NA,15.3
GWAS population,B73xZ009E0137,BxRIL,Z009,B73xZ009E0137,NA,17.7
GWAS population,B73xZ009E0143,BxRIL,Z009,B73xZ009E0143,NA,16
GWAS population,B73xZ009E0145,BxRIL,Z009,B73xZ009E0145,NA,15.3
GWAS population,B73xZ009E0149,BxRIL,Z009,B73xZ009E0149,NA,15.7
GWAS population,B73xZ009E0150,BxRIL,Z009,B73xZ009E0150,NA,15.3
GWAS population,B73xZ009E0153,BxRIL,Z009,B73xZ009E0153,NA,13.7
GWAS population,B73xZ009E0155,BxRIL,Z009,B73xZ009E0155,NA,14.7
GWAS population,B73xZ009E0167,BxRIL,Z009,B73xZ009E0167,NA,16
GWAS population,B73xZ009E0169,BxRIL,Z009,B73xZ009E0169,NA,17.3
GWAS population,B73xZ009E0173,BxRIL,Z009,B73xZ009E0173,NA,17
GWAS population,B73xZ009E0176,BxRIL,Z009,B73xZ009E0176,NA,17.7
GWAS population,B73xZ009E0177,BxRIL,Z009,B73xZ009E0177,NA,15.7
GWAS population,B73xZ009E0178,BxRIL,Z009,B73xZ009E0178,NA,15
GWAS population,B73xZ009E0179,BxRIL,Z009,B73xZ009E0179,NA,17
GWAS population,B73xZ009E0193,BxRIL,Z009,B73xZ009E0193,NA,16.3
GWAS population,B73xZ010E0002,BxRIL,Z010,B73xZ010E0002,NA,16.3
GWAS population,B73xZ010E0009,BxRIL,Z010,B73xZ010E0009,NA,15.7
GWAS population,B73xZ010E0062,BxRIL,Z010,B73xZ010E0062,NA,15.2
GWAS population,B73xZ010E0141,BxRIL,Z010,B73xZ010E0141,NA,15
GWAS population,B73xZ010E0146,BxRIL,Z010,B73xZ010E0146,NA,16.7
GWAS population,B73xZ010E0182,BxRIL,Z010,B73xZ010E0182,NA,15.7
GWAS population,B73xZ011E0008,BxRIL,Z011,B73xZ011E0008,NA,19
GWAS population,B73xZ011E0009,BxRIL,Z011,B73xZ011E0009,NA,15.6
GWAS population,B73xZ011E0012,BxRIL,Z011,B73xZ011E0012,NA,17.3
GWAS population,B73xZ011E0062,BxRIL,Z011,B73xZ011E0062,NA,15.2
GWAS population,B73xZ011E0079,BxRIL,Z011,B73xZ011E0079,NA,16.3
GWAS population,B73xZ011E0144,BxRIL,Z011,B73xZ011E0144,NA,15.2
GWAS population,B73xZ011E0146,BxRIL,Z011,B73xZ011E0146,NA,16
GWAS population,B73xZ011E0160,BxRIL,Z011,B73xZ011E0160,NA,15.7
GWAS population,B73xZ011E0162,BxRIL,Z011,B73xZ011E0162,NA,16
GWAS population,B73xZ011E0169,BxRIL,Z011,B73xZ011E0169,NA,15
GWAS population,B73xZ011E0182,BxRIL,Z011,B73xZ011E0182,NA,16
GWAS population,B73xZ012E0008,BxRIL,Z012,B73xZ012E0008,NA,16.8
GWAS population,B73xZ012E0012,BxRIL,Z012,B73xZ012E0012,NA,14.7
GWAS population,B73xZ012E0014,BxRIL,Z012,B73xZ012E0014,NA,15.5
GWAS population,B73xZ012E0026,BxRIL,Z012,B73xZ012E0026,NA,17.3
GWAS population,B73xZ012E0042,BxRIL,Z012,B73xZ012E0042,NA,16.4
GWAS population,B73xZ012E0058,BxRIL,Z012,B73xZ012E0058,NA,16.3
GWAS population,B73xZ012E0098,BxRIL,Z012,B73xZ012E0098,NA,15.2
GWAS population,B73xZ012E0102,BxRIL,Z012,B73xZ012E0102,NA,14.8
GWAS population,B73xZ012E0117,BxRIL,Z012,B73xZ012E0117,NA,17.7
GWAS population,B73xZ012E0159,BxRIL,Z012,B73xZ012E0159,NA,17.6
GWAS population,B73xZ013E0060,BxRIL,Z013,B73xZ013E0060,NA,16.7
GWAS population,B73xZ014E0005,BxRIL,Z014,B73xZ014E0005,NA,15
GWAS population,B73xZ014E0012,BxRIL,Z014,B73xZ014E0012,NA,16.7
GWAS population,B73xZ014E0017,BxRIL,Z014,B73xZ014E0017,NA,18.3
GWAS population,B73xZ014E0021,BxRIL,Z014,B73xZ014E0021,NA,16.3
GWAS population,B73xZ014E0052,BxRIL,Z014,B73xZ014E0052,NA,18
GWAS population,B73xZ014E0075,BxRIL,Z014,B73xZ014E0075,NA,14
GWAS population,B73xZ014E0084,BxRIL,Z014,B73xZ014E0084,NA,14.3
GWAS population,B73xZ014E0098,BxRIL,Z014,B73xZ014E0098,NA,17.5
GWAS population,B73xZ014E0099,BxRIL,Z014,B73xZ014E0099,NA,16.7
GWAS population,B73xZ014E0144,BxRIL,Z014,B73xZ014E0144,NA,16
GWAS population,B73xZ014E0146,BxRIL,Z014,B73xZ014E0146,NA,16.7
GWAS population,B73xZ014E0162,BxRIL,Z014,B73xZ014E0162,NA,16.8
GWAS population,B73xZ014E0166,BxRIL,Z014,B73xZ014E0166,NA,18
GWAS population,B73xZ014E0167,BxRIL,Z014,B73xZ014E0167,NA,15.7
GWAS population,B73xZ014E0168,BxRIL,Z014,B73xZ014E0168,NA,15
GWAS population,B73xZ014E0197,BxRIL,Z014,B73xZ014E0197,NA,16.8
GWAS population,B73xZ015E0013,BxRIL,Z015,B73xZ015E0013,NA,14.4
GWAS population,B73xZ015E0019,BxRIL,Z015,B73xZ015E0019,NA,18
GWAS population,B73xZ015E0022,BxRIL,Z015,B73xZ015E0022,NA,17
GWAS population,B73xZ015E0023,BxRIL,Z015,B73xZ015E0023,NA,15.2
GWAS population,B73xZ015E0029,BxRIL,Z015,B73xZ015E0029,NA,18
GWAS population,B73xZ015E0036,BxRIL,Z015,B73xZ015E0036,NA,14
GWAS population,B73xZ015E0038,BxRIL,Z015,B73xZ015E0038,NA,17.5
GWAS population,B73xZ015E0041,BxRIL,Z015,B73xZ015E0041,NA,15.5
GWAS population,B73xZ015E0042,BxRIL,Z015,B73xZ015E0042,NA,16
GWAS population,B73xZ015E0059,BxRIL,Z015,B73xZ015E0059,NA,14
GWAS population,B73xZ015E0063,BxRIL,Z015,B73xZ015E0063,NA,16.3
GWAS population,B73xZ015E0071,BxRIL,Z015,B73xZ015E0071,NA,15.3
GWAS population,B73xZ015E0074,BxRIL,Z015,B73xZ015E0074,NA,15.7
GWAS population,B73xZ015E0080,BxRIL,Z015,B73xZ015E0080,NA,15.2
GWAS population,B73xZ015E0084,BxRIL,Z015,B73xZ015E0084,NA,17.3
GWAS population,B73xZ015E0105,BxRIL,Z015,B73xZ015E0105,NA,16.3
GWAS population,B73xZ015E0123,BxRIL,Z015,B73xZ015E0123,NA,18
GWAS population,B73xZ015E0127,BxRIL,Z015,B73xZ015E0127,NA,16.3
GWAS population,B73xZ015E0135,BxRIL,Z015,B73xZ015E0135,NA,20
GWAS population,B73xZ015E0142,BxRIL,Z015,B73xZ015E0142,NA,15
GWAS population,B73xZ015E0148,BxRIL,Z015,B73xZ015E0148,NA,16.4
GWAS population,B73xZ015E0155,BxRIL,Z015,B73xZ015E0155,NA,15.7
GWAS population,B73xZ015E0160,BxRIL,Z015,B73xZ015E0160,NA,15.2
GWAS population,B73xZ015E0163,BxRIL,Z015,B73xZ015E0163,NA,16.3
GWAS population,B73xZ016E0002,BxRIL,Z016,B73xZ016E0002,NA,17
GWAS population,B73xZ016E0019,BxRIL,Z016,B73xZ016E0019,NA,15.3
GWAS population,B73xZ016E0021,BxRIL,Z016,B73xZ016E0021,NA,16.8
GWAS population,B73xZ016E0027,BxRIL,Z016,B73xZ016E0027,NA,18.7
GWAS population,B73xZ016E0028,BxRIL,Z016,B73xZ016E0028,NA,16.3
GWAS population,B73xZ016E0030,BxRIL,Z016,B73xZ016E0030,NA,17.6
GWAS population,B73xZ016E0047,BxRIL,Z016,B73xZ016E0047,NA,18.8
GWAS population,B73xZ016E0058,BxRIL,Z016,B73xZ016E0058,NA,16.7
GWAS population,B73xZ016E0063,BxRIL,Z016,B73xZ016E0063,NA,17
GWAS population,B73xZ016E0065,BxRIL,Z016,B73xZ016E0065,NA,16.7
GWAS population,B73xZ016E0077,BxRIL,Z016,B73xZ016E0077,NA,16
GWAS population,B73xZ016E0079,BxRIL,Z016,B73xZ016E0079,NA,17.3
GWAS population,B73xZ016E0080,BxRIL,Z016,B73xZ016E0080,NA,16
GWAS population,B73xZ016E0081,BxRIL,Z016,B73xZ016E0081,NA,17
GWAS population,B73xZ016E0084,BxRIL,Z016,B73xZ016E0084,NA,16
GWAS population,B73xZ016E0103,BxRIL,Z016,B73xZ016E0103,NA,16.3
GWAS population,B73xZ016E0112,BxRIL,Z016,B73xZ016E0112,NA,17.7
GWAS population,B73xZ016E0115,BxRIL,Z016,B73xZ016E0115,NA,16.7
GWAS population,B73xZ016E0117,BxRIL,Z016,B73xZ016E0117,NA,16
GWAS population,B73xZ016E0118,BxRIL,Z016,B73xZ016E0118,NA,17.6
GWAS population,B73xZ016E0119,BxRIL,Z016,B73xZ016E0119,NA,18.3
GWAS population,B73xZ016E0121,BxRIL,Z016,B73xZ016E0121,NA,18.7
GWAS population,B73xZ016E0122,BxRIL,Z016,B73xZ016E0122,NA,19.3
GWAS population,B73xZ016E0128,BxRIL,Z016,B73xZ016E0128,NA,17.6
GWAS population,B73xZ016E0132,BxRIL,Z016,B73xZ016E0132,NA,17.3
GWAS population,B73xZ016E0133,BxRIL,Z016,B73xZ016E0133,NA,16.3
GWAS population,B73xZ016E0134,BxRIL,Z016,B73xZ016E0134,NA,14.5
GWAS population,B73xZ016E0135,BxRIL,Z016,B73xZ016E0135,NA,16.3
GWAS population,B73xZ016E0136,BxRIL,Z016,B73xZ016E0136,NA,15
GWAS population,B73xZ016E0137,BxRIL,Z016,B73xZ016E0137,NA,16.7
GWAS population,B73xZ016E0138,BxRIL,Z016,B73xZ016E0138,NA,18
GWAS population,B73xZ016E0143,BxRIL,Z016,B73xZ016E0143,NA,15
GWAS population,B73xZ016E0144,BxRIL,Z016,B73xZ016E0144,NA,18.7
GWAS population,B73xZ016E0149,BxRIL,Z016,B73xZ016E0149,NA,16.7
GWAS population,B73xZ016E0150,BxRIL,Z016,B73xZ016E0150,NA,18
GWAS population,B73xZ016E0153,BxRIL,Z016,B73xZ016E0153,NA,14.3
GWAS population,B73xZ016E0157,BxRIL,Z016,B73xZ016E0157,NA,16.7
GWAS population,B73xZ016E0160,BxRIL,Z016,B73xZ016E0160,NA,15.3
GWAS population,B73xZ016E0161,BxRIL,Z016,B73xZ016E0161,NA,19
GWAS population,B73xZ016E0162,BxRIL,Z016,B73xZ016E0162,NA,19.2
GWAS population,B73xZ016E0194,BxRIL,Z016,B73xZ016E0194,NA,16
GWAS population,B73xZ016E0198,BxRIL,Z016,B73xZ016E0198,NA,19
GWAS population,B73xZ017E0001,BxRIL,Z017,B73xZ017E0001,NA,17.5
GWAS population,B73xZ017E0002,BxRIL,Z017,B73xZ017E0002,NA,14
GWAS population,B73xZ017E0003,BxRIL,Z017,B73xZ017E0003,NA,15.4
GWAS population,B73xZ017E0004,BxRIL,Z017,B73xZ017E0004,NA,16.2
GWAS population,B73xZ017E0005,BxRIL,Z017,B73xZ017E0005,NA,17.3
GWAS population,B73xZ017E0006,BxRIL,Z017,B73xZ017E0006,NA,15.4
GWAS population,B73xZ017E0007,BxRIL,Z017,B73xZ017E0007,NA,16
GWAS population,B73xZ017E0008,BxRIL,Z017,B73xZ017E0008,NA,16.7
GWAS population,B73xZ017E0009,BxRIL,Z017,B73xZ017E0009,NA,17.5
GWAS population,B73xZ017E0010,BxRIL,Z017,B73xZ017E0010,NA,17.4
GWAS population,B73xZ017E0011,BxRIL,Z017,B73xZ017E0011,NA,16.5
GWAS population,B73xZ017E0012,BxRIL,Z017,B73xZ017E0012,NA,17.4
GWAS population,B73xZ017E0013,BxRIL,Z017,B73xZ017E0013,NA,15.7
GWAS population,B73xZ017E0014,BxRIL,Z017,B73xZ017E0014,NA,15.2
GWAS population,B73xZ017E0015,BxRIL,Z017,B73xZ017E0015,NA,16.9
GWAS population,B73xZ017E0016,BxRIL,Z017,B73xZ017E0016,NA,15.2
GWAS population,B73xZ017E0017,BxRIL,Z017,B73xZ017E0017,NA,16
GWAS population,B73xZ017E0018,BxRIL,Z017,B73xZ017E0018,NA,16.5
GWAS population,B73xZ017E0019,BxRIL,Z017,B73xZ017E0019,NA,17.1
GWAS population,B73xZ017E0020,BxRIL,Z017,B73xZ017E0020,NA,15.3
GWAS population,B73xZ017E0021,BxRIL,Z017,B73xZ017E0021,NA,14.4
GWAS population,B73xZ017E0022,BxRIL,Z017,B73xZ017E0022,NA,15.3
GWAS population,B73xZ017E0023,BxRIL,Z017,B73xZ017E0023,NA,18.2
GWAS population,B73xZ017E0024,BxRIL,Z017,B73xZ017E0024,NA,14.8
GWAS population,B73xZ017E0025,BxRIL,Z017,B73xZ017E0025,NA,17.3
GWAS population,B73xZ017E0027,BxRIL,Z017,B73xZ017E0027,NA,15.5
GWAS population,B73xZ017E0028,BxRIL,Z017,B73xZ017E0028,NA,16.3
GWAS population,B73xZ017E0029,BxRIL,Z017,B73xZ017E0029,NA,17.2
GWAS population,B73xZ017E0030,BxRIL,Z017,B73xZ017E0030,NA,16.4
GWAS population,B73xZ017E0031,BxRIL,Z017,B73xZ017E0031,NA,14.8
GWAS population,B73xZ017E0032,BxRIL,Z017,B73xZ017E0032,NA,16
GWAS population,B73xZ017E0033,BxRIL,Z017,B73xZ017E0033,NA,16.6
GWAS population,B73xZ017E0034,BxRIL,Z017,B73xZ017E0034,NA,16.9
GWAS population,B73xZ017E0035,BxRIL,Z017,B73xZ017E0035,NA,17.6
GWAS population,B73xZ017E0036,BxRIL,Z017,B73xZ017E0036,NA,16.3
GWAS population,B73xZ017E0037,BxRIL,Z017,B73xZ017E0037,NA,19.7
GWAS population,B73xZ017E0038,BxRIL,Z017,B73xZ017E0038,NA,16.5
GWAS population,B73xZ017E0039,BxRIL,Z017,B73xZ017E0039,NA,16
GWAS population,B73xZ017E0043,BxRIL,Z017,B73xZ017E0043,NA,16.3
GWAS population,B73xZ017E0045,BxRIL,Z017,B73xZ017E0045,NA,15.6
GWAS population,B73xZ017E0046,BxRIL,Z017,B73xZ017E0046,NA,17.5
GWAS population,B73xZ017E0047,BxRIL,Z017,B73xZ017E0047,NA,16.9
GWAS population,B73xZ017E0048,BxRIL,Z017,B73xZ017E0048,NA,15
GWAS population,B73xZ017E0049,BxRIL,Z017,B73xZ017E0049,NA,16
GWAS population,B73xZ017E0050,BxRIL,Z017,B73xZ017E0050,NA,17.7
GWAS population,B73xZ017E0051,BxRIL,Z017,B73xZ017E0051,NA,17.9
GWAS population,B73xZ017E0052,BxRIL,Z017,B73xZ017E0052,NA,17.5
GWAS population,B73xZ017E0053,BxRIL,Z017,B73xZ017E0053,NA,17
GWAS population,B73xZ017E0054,BxRIL,Z017,B73xZ017E0054,NA,16.2
GWAS population,B73xZ017E0055,BxRIL,Z017,B73xZ017E0055,NA,18.8
GWAS population,B73xZ017E0056,BxRIL,Z017,B73xZ017E0056,NA,18.3
GWAS population,B73xZ017E0057,BxRIL,Z017,B73xZ017E0057,NA,16.2
GWAS population,B73xZ017E0058,BxRIL,Z017,B73xZ017E0058,NA,17.1
GWAS population,B73xZ017E0059,BxRIL,Z017,B73xZ017E0059,NA,17.2
GWAS population,B73xZ017E0060,BxRIL,Z017,B73xZ017E0060,NA,17.9
GWAS population,B73xZ017E0061,BxRIL,Z017,B73xZ017E0061,NA,18.4
GWAS population,B73xZ017E0062,BxRIL,Z017,B73xZ017E0062,NA,16.5
GWAS population,B73xZ017E0063,BxRIL,Z017,B73xZ017E0063,NA,18
GWAS population,B73xZ017E0064,BxRIL,Z017,B73xZ017E0064,NA,17.7
GWAS population,B73xZ017E0065,BxRIL,Z017,B73xZ017E0065,NA,17.2
GWAS population,B73xZ017E0066,BxRIL,Z017,B73xZ017E0066,NA,19.7
GWAS population,B73xZ017E0067,BxRIL,Z017,B73xZ017E0067,NA,16.6
GWAS population,B73xZ017E0069,BxRIL,Z017,B73xZ017E0069,NA,15.3
GWAS population,B73xZ017E0070,BxRIL,Z017,B73xZ017E0070,NA,18.2
GWAS population,B73xZ017E0071,BxRIL,Z017,B73xZ017E0071,NA,18.2
GWAS population,B73xZ017E0072,BxRIL,Z017,B73xZ017E0072,NA,16.1
GWAS population,B73xZ017E0073,BxRIL,Z017,B73xZ017E0073,NA,16.9
GWAS population,B73xZ017E0074,BxRIL,Z017,B73xZ017E0074,NA,16.4
GWAS population,B73xZ017E0075,BxRIL,Z017,B73xZ017E0075,NA,16.4
GWAS population,B73xZ017E0076,BxRIL,Z017,B73xZ017E0076,NA,16
GWAS population,B73xZ017E0077,BxRIL,Z017,B73xZ017E0077,NA,18.5
GWAS population,B73xZ017E0078,BxRIL,Z017,B73xZ017E0078,NA,14.8
GWAS population,B73xZ017E0079,BxRIL,Z017,B73xZ017E0079,NA,15.1
GWAS population,B73xZ017E0081,BxRIL,Z017,B73xZ017E0081,NA,18
GWAS population,B73xZ017E0082,BxRIL,Z017,B73xZ017E0082,NA,15.7
GWAS population,B73xZ017E0083,BxRIL,Z017,B73xZ017E0083,NA,15.5
GWAS population,B73xZ017E0084,BxRIL,Z017,B73xZ017E0084,NA,16.4
GWAS population,B73xZ017E0085,BxRIL,Z017,B73xZ017E0085,NA,14.9
GWAS population,B73xZ017E0086,BxRIL,Z017,B73xZ017E0086,NA,16.3
GWAS population,B73xZ017E0087,BxRIL,Z017,B73xZ017E0087,NA,17.8
GWAS population,B73xZ017E0088,BxRIL,Z017,B73xZ017E0088,NA,16.6
