<Trait>	20KernelWeight	CobColor	CobDiameter	CobDiameter	CobWeight	CobWeight	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	EarDiameter	EarDiameter	EarLength	EarLength	EarRankNumber	EarRankNumber	EarRowNumber	EarRowNumber	EarWeight	EarWeight	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	HerbicideSensitivity	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafSheathLength	LeafWidth-BorderPlant	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	NorthernLeafBlight-IncubationPeriod	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight	NumberofLeaves	NumberofTilleringPlants	NumberofTilleringPlants	Phylotaxy	RowQuality	RowQuality	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SeedSetLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselSterility	TilleringIndex-BorderPlant	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TotalKernelVolume	TotalKernelVolume	UpperLeafAngle-BorderPlant	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle
A554	2.975	0	24	21.01	11	9.035	68	84	61	45	72	59	61	70	55	-999	68	83	61.5	45	71	60	59	70	56	-999	33	-999	108	51.05	15	21.5	13	13	35	-999	16	7	9	4	-999	3	3	-999	468	780	490	461	560	613	575	573	677	113	-999	71	58	63.25	51	53	90	80	68	90	208	196	177	-999	199.5	153	216	179.6666667	-999	67.5	45	-999	62.5	-999	-999	-999	-999	-999	7	4	0	-999	105	2	3	2	0	0	2	-999	94	20	20	27	33	6	8	7	6	-999	-999	188	148	163	176	290	248	238	-999	294.5	280	305	289	10.5	5.5	7.5	-999	10	15	7	12	-999	0	0	0	0	-999	30	-999	-999	52.5	35	32.5	25	30	50	10	30	55
A556	-999	0	21	21.6475	71	15.48	76	-999	62	49	72	61	66	75	58	-999	76	-999	63.5	48	73	65	65	79	59	-999	34	31.9575	108	139.11	14	-999	11	11.75	45	-999	12	0	10	4	-999	7	7	-999	480	-999	594.5	522	706	662	-999	565	692	98	85	83	-999	87.25	70	86	89	73	74	93	209	227	215	212	204.5	210	222	234	-999	-999	50	-999	45	-999	-999	-999	-999	-999	3	3.5	0	-999	-999	4	2	-999	0	1	2	-999	109	25	24	14	17	6.5	9	14	6	-999	-999	-999	164	193	200	261	277	278	258	258.5	288	284	323	6	8	5.5	3	8.5	9	4	7	-999	0	0	0	0	-999	50	-999	55	47.5	-999	42.5	25	55	55	45	30	60
A6	-999	-999	-999	24.135	-999	13.895	-999	124	82.5	65	102	94	-999	-999	78	-999	-999	120	79	64	97	88	82	-999	76	-999	-999	-999	-999	131.3475	-999	-999	-999	-999	-999	-999	1	1	9	6	-999	6	7	-999	824	-999	834.75	673	736	961	809	913	1034	141	90	95	-999	86	75	85	96	92	87	76	-999	188	200	176	207	195	242	186	-999	80	75	-999	70	-999	-999	-999	-999	-999	3	3.5	0	-999	-999	3	3	-999	6	3	5	6	-999	22	24	20	23	5.5	9	13	7	-999	-999	-999	198	152	212	-999	331	349.5	244	317	352	411	309	-999	20	15	11	12	16	20	19	-999	0	0	0.5	0	-999	-999	-999	-999	85	85	-999	60	-999	-999	-999	-999	65
A619	-999	-999	-999	30.6725	-999	17.985	74	-999	68	51	77	67	72	77	59	-999	74	91	67	50	75	67	72	75	58	-999	-999	-999	-999	160.245	-999	-999	-999	-999	-999	-999	9	6	9.5	6	-999	3	8	-999	527	457	595	614	690	557	539	635	673	126	93.5	89	74	90	77	103	89	87	92	93	201.5	187.5	229.5	-999	250.5	174	215	247	-999	-999	57.5	-999	52.5	-999	-999	-999	-999	-999	5	5	0	-999	182.5	2	3	1	0	0	1	-999	-999	30	18	20	18	6.5	8	10	6	-999	-999	180	158	172	190	262.5	249	309.5	-999	306.5	238	293	364	8	5	8.5	-999	8	12	7	8	-999	0	0	0	0	-999	-999	-999	65	67.5	50	57.5	-999	65	60	60	55	45
A632	4.54	0	24	23.065	12	12.255	71	90	69	52	74	67	64	78	64	-999	71	89	66.5	52	74	66	62	77	63	-999	34	34.82	131	128.6825	15	24	15	14.5	47	64.53	20	10	10.5	6	-999	13	6	-999	532	628	744	491	750	788	689	758	785	133	84	57	59	75	49	83	80	70	88	78	191	252	187.5	222	199.5	203	161	-999	-999	57.5	50	-999	50	-999	-999	-999	-999	-999	5	5.5	0	-999	102.5	1	2	-999	0	1	2	-999	110	31	-999	19	-999	8	9	14	5	-999	-999	-999	216	161	188	269	304.5	241	245	252.5	286	235	-999	9	5.5	9	3	7	10	8	7	-999	0	0	0.5	0	-999	50	65	25	42.5	-999	15	5	60	-999	5	15	15
A634	4.6775	0	25	23.88	14	18.4425	74	93	65.5	55	75	63	70	78	67	-999	74	90	65	51	75	65	69	76	65	-999	34	34.445	138	133.33	10	19.75	9	14	35	63.8475	18	7	11	6	-999	11	5	-999	605	577	676.5	600	810	772	711	767	824	114	68	70	53	70.75	66	62	84	74	81	66	194.5	210	172	-999	173	175	185	134	-999	70	50	-999	58.33333333	-999	-999	-999	-999	-999	4	5	0	-999	205	2	2	1	0	-999	1	-999	104	24	20	12	11	7.5	8	11	6	-999	-999	208	190	-999	208	265.5	259	252	-999	247	235	247	232	6.5	3	5	3	5	4	-999	5	-999	0	0	0	0	-999	30	68.75	-999	27.5	-999	40	30	-999	-999	5	5	15
A635	4.3475	-999	-999	19.6325	-999	8.125	82	87	74.5	53	80	73	73	80	65	-999	80	84	69.5	52	76	69	70	77	64	-999	-999	32.7625	-999	119.545	-999	19	-999	12.25	-999	41.01	11	9	9	5	-999	10	7	-999	515	691	642.75	288	797	715	709	688	717	133	65	66	62	71.25	35	73	71	68	72	59	180.5	231.5	241	-999	236	227	265	242	-999	57.5	50	-999	60	-999	-999	-999	-999	-999	5	4	0	-999	87.5	1	4	1	1	-999	1	-999	-999	24	30	16	18	6.5	6	13	7	-999	-999	132	178	-999	146	234	305.5	299.5	-999	273	309	316	272	7.5	10.5	6	-999	6	10	8	9	-999	0	-999	0	0	-999	-999	50	-999	12.5	-999	5	5	-999	-999	10	5	10
A641	4.15	0	26	23.7175	9	11.3875	68	90	61	48	76	60	64	74	58	-999	68	87	61	48	75	61	62	75	58	-999	33	32.8075	120	118.6725	18	14.5	13	13.25	49	-999	13	8	10.5	3	-999	6	6	-999	539	574	642.75	554	741	587.5	592	669	669	117	91	75	70	88	77	82	72	84	103	84	184	228	219	156	247	213	248	219	-999	47.5	50	-999	35	-999	-999	-999	-999	-999	4	4.5	0	-999	135	2	1	-999	0	-999	0	-999	113	27	20	30	15	7	7	12	6	-999	-999	-999	128	-999	141	231	246.5	278	203	284	251	291	306	5	2.5	5	4	4	5	4	5	1	0	-999	0	0	-999	50	-999	35	52.5	50	40	55	65	35	10	50	45
A654	-999	-999	-999	-999	-999	-999	68	78	57.5	45	65	58	64	69	73	-999	68	78	59.5	45	64	58	62	70	73	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	16	4	11	6	-999	12	0	-999	515	578	491.75	614	537	543	573	503	-999	123	92	80	71	63.5	62	70	88	73	60	-999	182.5	208	234.5	-999	185	198	221	-999	-999	75	67.5	-999	60	-999	-999	-999	-999	-999	6	4.5	0	-999	-999	2	2	0	0	0	0	-999	-999	15	12	22	13	7.5	8	15	7	-999	-999	196	200	169	186	246.5	259	279	-999	237.5	275	293	-999	4.5	4	2.5	-999	5	7	3	-999	-999	0	-999	0	0	-999	-999	-999	60	70	55	55	55	45	70	40	60	-999
A659	6.31	0	30	23.995	22	8.195	76	-999	70	51	61	61	59	70	66	-999	76	90	66.5	49	61	59	59	69	65	-999	35	36.12	113	92.025	16	12	13	10.5	56	29.77	11	3	10	6	-999	7	2	-999	730	657	692.25	596	798	703	623	646	827	138	77	78	62	62	60	69	69	57	66	97	234	253	272.5	192	263.5	226	211	221	-999	-999	67.5	-999	40	-999	-999	-999	-999	-999	6	4	0	2	-999	2	1	-999	0	0	0	-999	93	23	17	14	15	5.5	8	14	7	-999	-999	-999	226	194	140	308	303.5	350.5	265	347.5	280	251	311	16	4.5	8	6	8	8	3	17	-999	0	0	0	0	1	50	30	15	50	70	60	37.5	75	10	5	5	70
A661	3.775	-999	-999	27.68	-999	21.025	68	86	63	45	74	61	64	74	57	-999	68	84	61.5	45	69	60	61	71	56	-999	-999	35.6275	-999	123.97	-999	22	-999	15.25	-999	57.1575	12	5	10.5	6	-999	13	5	-999	488	609	577.5	512	721	573	636	592	708	120	90	85	73	84.75	61	85	88	98	88	121	214	232.5	231.5	201	208.5	188	259	261	-999	57.5	55	-999	47.5	-999	-999	-999	-999	-999	5	4.5	0	-999	292.5	2	2	-999	0	0	1	-999	-999	29	20	20	14	6.5	9	12	6	-999	-999	-999	158	142	146	286	288.5	275.5	245	266.5	256	304	379	8	3	4	2	6.5	11	3	8	-999	0	0	0	0	-999	-999	51.25	45	62.5	55	45	50	65	67.5	40	45	50
A679	3.925	0	25	28.65	23	25.05	74	97	67	51	72	64	64	76	61	-999	74	96	66.5	-999	72	65	62	75	60	-999	45	42.1575	165	169.525	24	33	18	19	84	107.4125	17	9	10.5	6	-999	6	6	-999	719	647	758.5	669	753	787	838	734	818	114	91	91	56	77.25	71	72	96	91	101	95	215	251.5	253	-999	-999	222	200	246	-999	70	67.5	-999	70	-999	-999	-999	-999	-999	3	4.5	0	-999	110	2	2	-999	0	-999	1	-999	137	15	31	11	15	6	9	15	5	-999	-999	-999	228	-999	166	294	324	332	-999	-999	298	348	342	9	7	5.5	2	6	7	10	9	-999	0	1	1	0	-999	120	111.25	80	75	75	77.5	60	85	80	65	80	75
A680	4.495	-999	-999	28.91	-999	23.2325	78	92	71	54	82	74	72	81	66	-999	78	91	71	53	81	74	71	83	65	-999	-999	40.995	-999	171.525	-999	30.75	-999	17	-999	102.475	1	9	11	6	-999	8	3	-999	678	734	767	580	693	646	756	820	833	117	82	86	93	83.5	61	82	77	74	93	-999	237	274	220	179	-999	181	248	-999	-999	65	75	-999	65	-999	-999	-999	-999	-999	6	4.5	0	-999	195	2	3	-999	1	-999	1	-999	-999	24	31	11	9	6.5	9	11	8	-999	-999	-999	222	-999	188	300	355	302.5	229	-999	250	326	-999	8	7.5	5.5	3	6	5	7	10	-999	0	0	1	1	-999	-999	110	85	80	80	77.5	60	-999	85	85	85	80
A682	4.915	-999	-999	21.985	-999	17.8875	75	94	67	51	77	62	55	74	62	-999	75	90	65.5	50	74	62	54	73	61	-999	-999	32.175	-999	167.855	-999	26.75	-999	10	-999	58.46	16	4	8.5	6	-999	9	3	-999	547	533	619.75	-999	591	592	554	443	666	143	51	85	50	84.5	58	74	71	96	50	72	293	375.5	285	211	250	278	287	355	-999	-999	70	-999	45	-999	-999	-999	-999	-999	4	5.333333333	0	-999	260	2	1	-999	0	0	0	-999	-999	20	21	14	14	6	8	9	5	-999	-999	-999	202	111	183	329	374.5	352	239	305.5	327	364	459	3	1	4.5	2	4	7	7	9	1	0	-999	0	0	-999	-999	60	-999	25	25	5	5	-999	50	5	25	25
Ab28A	-999	-999	-999	21.8125	-999	24.495	93	107	83	62	92	82	86	-999	-999	-999	92	106	80.5	-999	88	80	86	-999	-999	-999	-999	-999	-999	174.69	-999	-999	-999	9	-999	-999	2	3	10	5	-999	1	0	-999	781	-999	825.25	697	849	725	813	750	-999	157	-999	122	-999	114	99	105	114.5	123	136	-999	-999	246	276	228	-999	212	293	-999	-999	60	62.5	-999	65	-999	-999	-999	-999	-999	3	4	0	-999	142.5	2	3	-999	0	-999	4	-999	-999	33	29	30	13	6	5	8	6	-999	-999	-999	240	-999	181	-999	348	419	312	-999	352	391	-999	-999	8	10	9	8	14	10	-999	-999	0	0	1	1	-999	-999	-999	-999	67.5	70	-999	55	75	-999	-999	-999	-999
B10	5.31	0	32	25.145	38	20.1275	84	-999	80	62	85	79	78	90	-999	-999	80	92	75	61	83	73	73	86	-999	-999	46	36.955	167	164.7275	16	-999	14	12.5	109	-999	9	6	9.5	4	-999	3	0	-999	723	861	808.25	733	801	756	780	801	-999	105	96	94	85	95.25	86	93	102	93	101	-999	221	216	217.5	175	-999	191	213	-999	-999	60	52.5	-999	45	-999	-999	-999	-999	-999	4	4	0	-999	-999	2	3	-999	3	-999	4	-999	157	21	43	24	17	6	6	7	6	-999	-999	-999	226	-999	222	335	325	311	270	-999	309	312	-999	16	10	9	9	-999	12	12	-999	-999	0	-999	0.5	1	-999	110	-999	25	55	50	42.5	21.66666667	50	30	15	30	-999
B103	-999	-999	-999	25.075	-999	15.1	76	90	66.5	52	73	65	67	79	67	-999	76	87	65.5	52	73	66	67	78	65	-999	-999	-999	-999	147.87	-999	-999	-999	-999	-999	-999	8	5	12	6	-999	5	4	-999	570	680	652.5	520	704	701	597	684	814	148	81	78	74	81.75	62	76	92	77	88	87	266	297.5	-999	-999	276.5	289	320	334	-999	65	77.5	-999	-999	-999	-999	-999	-999	-999	3	4.5	0	-999	125	2	2	-999	-999	0	0	-999	-999	24	26	12	18	7	9	12	7	-999	-999	-999	210	194	-999	269	298.5	288.5	-999	323.5	287	328	337	1	1	0.5	-999	2.5	0	1	0	-999	0	0	0	0	-999	-999	-999	70	70	55	50	55	70	62.5	55	60	55
B104	4.37	0	29	25.735	25	14.43	80	94	71.5	55	86	69	73	87	67	-999	79	90	67.5	52	79	68	73	84	66	-999	38	40.74	116	137.905	10	27	13	14	68	81.77	11	10	11.5	6	-999	9	7	-999	710	723	735.5	715	747	841	820	787	809	109	-999	90	77	79.25	63	70	94	83	87	93	210	226	186.5	174	193	178	196	200	-999	62.5	65	-999	55	-999	-999	-999	-999	-999	3	4.5	0	-999	-999	2	3	-999	0	0	2	-999	100	31	33	13	16	6.5	9	8	4	-999	-999	-999	176	141	164	283	267	266.5	232	248.5	271	306	315	9	4	10	6	9	14	11	6	-999	0	-999	0.5	0	-999	60	85	-999	55	50	65	45	65	75	70	50	55
B105	4.5225	0	28	24.99	78	16.7525	84	108	76	60	89	74	73	85	66	-999	82	106	74	59	85	72	73	83	65	-999	34	36.935	161	167.16	21	23.75	15	15.25	70	73.0375	12	5	8	6	-999	9	7	-999	663	829	761.25	488	657	654	558	910	875	141	81	101	83	88.25	51	83	80	70	105	115	217	215	239	178	209	146	230	274	-999	60	67.5	-999	65	-999	-999	-999	-999	-999	4	4.5	1	-999	-999	2	2	-999	1	-999	3	-999	159	29	25	13	15	6.5	9	10	5	-999	-999	-999	200	-999	202	303	308	339	237	291	228	337	334	12	10	9	6	13	9	12	9	-999	1	-999	0	1	-999	70	75	65	77.5	75	70	55	70	80	70	70	70
B109	4.995	0	30	24.8925	16	16.63	79	98	70	56	80	69	73	80	65	-999	76	97	70.5	53	78	68	72	87	64	-999	43	40.6025	128	146.7275	15	28.5	18	13.75	65	94.3175	16	6	10	6	-999	9	9	-999	622	719	691.25	628	608	700	692	756	717	129	90	96	87	86	72.5	81	92	76	87	97	224.5	206.5	208.5	182	173.5	198	223	203	-999	62.5	60	-999	55	-999	-999	-999	-999	-999	3	4.5	0	-999	180	2	2	1	0	0	2	-999	77	30	25	14	16	6	8	13	6	-999	-999	176	188	132	158	295.5	279	282	230	236.5	295	354	317	6	5	5.5	4	6.5	9	6	8	-999	0	0	0	0	-999	60	100	75	67.5	75	60	60	70	65	65	55	75
B115	-999	0	22	22.9625	78	13.21	79	99	75.5	56	96	74	82	92	67	-999	79	94	72.5	54	86	74	78	87	66	-999	28	-999	187	161.16	36	-999	11	-999	90	-999	3	5	6	6	-999	6	2	-999	644	683	705.75	628	721	-999	706	762	675	170	75	105	75	91.5	71	93	-999	91	104	58	227	247	207.5	191	234.5	175	201	260	-999	37.5	55	-999	60	-999	-999	-999	-999	-999	3	4	0	-999	-999	1	3	-999	0	3	5	-999	165	-999	23	-999	21	6	3	9	6	-999	-999	-999	230	234	206	356	348	366.5	290	344	356	368	445	15	9	13	12	13	20	19	15	-999	0	0	0	1	-999	100	-999	-999	42.5	45	42.5	15	35	60	15	20	40
