Genotype,Population,Subpopulation,KRN
Mo17xZ017EM0258,MxRIL,Z017,13.4
Mo17xZ017EM0259,MxRIL,Z017,12.5
Mo17xZ017EM0260,MxRIL,Z017,12.4
Mo17xZ017EM0273,MxRIL,Z017,14.2
Mo17xZ017EM0280,MxRIL,Z017,12.8
Mo17xZ017EM0282,MxRIL,Z017,13.1
Mo17xZ017EM0283,MxRIL,Z017,13.8
Mo17xZ017EM0285,MxRIL,Z017,12.3
Mo17xZ017EM0289,MxRIL,Z017,12.3
Mo17xZ017EM0290,MxRIL,Z017,12.1
Mo17xZ017EM0291,MxRIL,Z017,14.5
Mo17xZ017EM0293,MxRIL,Z017,12
Mo17xZ017EM0294,MxRIL,Z017,13.2
Mo17xZ017EM0295,MxRIL,Z017,13.7
Mo17xZ017EM0300,MxRIL,Z017,13
Mo17xZ017EM0306,MxRIL,Z017,13
Mo17xZ017EM0312,MxRIL,Z017,13.9
Mo17xZ017EM0320,MxRIL,Z017,13.4
Mo17xZ017EM0324,MxRIL,Z017,13.2
Mo17xZ017EM0327,MxRIL,Z017,12.8
Mo17xZ017EM0331,MxRIL,Z017,13.9
Mo17xZ017EM0334,MxRIL,Z017,13.9
Mo17xZ017EM0339,MxRIL,Z017,14.6
Mo17xZ017EM0348,MxRIL,Z017,12
Mo17xZ017EM0350,MxRIL,Z017,12.4
Mo17xZ017EM0353,MxRIL,Z017,14.4
Mo17xZ017EM0358,MxRIL,Z017,14.6
Mo17xZ017EM0370,MxRIL,Z017,13.9
Mo17xZ017EM0375,MxRIL,Z017,12.7
Mo17xZ017EM0376,MxRIL,Z017,12.9
Mo17xZ017EM0377,MxRIL,Z017,13.5
Z001E0001,NAMRIL,Z001,12.4
Z001E0002,NAMRIL,Z001,12.5
Z001E0003,NAMRIL,Z001,13.2
Z001E0004,NAMRIL,Z001,16.1
Z001E0005,NAMRIL,Z001,16.2
Z001E0006,NAMRIL,Z001,14.7
Z001E0007,NAMRIL,Z001,18
Z001E0008,NAMRIL,Z001,15.4
Z001E0009,NAMRIL,Z001,14.7
Z001E0010,NAMRIL,Z001,15.3
Z001E0011,NAMRIL,Z001,15.5
Z001E0012,NAMRIL,Z001,13.7
Z001E0013,NAMRIL,Z001,14
Z001E0014,NAMRIL,Z001,18.3
Z001E0015,NAMRIL,Z001,15.7
Z001E0016,NAMRIL,Z001,13
Z001E0017,NAMRIL,Z001,15.4
Z001E0018,NAMRIL,Z001,17.7
Z001E0019,NAMRIL,Z001,14.4
Z001E0020,NAMRIL,Z001,18
Z001E0021,NAMRIL,Z001,16.2
Z001E0022,NAMRIL,Z001,15.2
Z001E0023,NAMRIL,Z001,14.6
Z001E0024,NAMRIL,Z001,13.4
Z001E0025,NAMRIL,Z001,14.7
Z001E0027,NAMRIL,Z001,15.8
Z001E0028,NAMRIL,Z001,14
Z001E0029,NAMRIL,Z001,15.4
Z001E0030,NAMRIL,Z001,14.4
Z001E0031,NAMRIL,Z001,15.3
Z001E0032,NAMRIL,Z001,15.3
Z001E0033,NAMRIL,Z001,15.9
Z001E0034,NAMRIL,Z001,12.8
Z001E0036,NAMRIL,Z001,14.6
Z001E0037,NAMRIL,Z001,18.5
Z001E0038,NAMRIL,Z001,15
Z001E0039,NAMRIL,Z001,13.1
Z001E0040,NAMRIL,Z001,16.4
Z001E0041,NAMRIL,Z001,16.3
Z001E0042,NAMRIL,Z001,15.7
Z001E0043,NAMRIL,Z001,16.4
Z001E0044,NAMRIL,Z001,15.3
Z001E0045,NAMRIL,Z001,16.1
Z001E0046,NAMRIL,Z001,17.5
Z001E0047,NAMRIL,Z001,14.7
Z001E0048,NAMRIL,Z001,15.7
Z001E0049,NAMRIL,Z001,14.2
Z001E0050,NAMRIL,Z001,15.3
Z001E0051,NAMRIL,Z001,17.1
Z001E0052,NAMRIL,Z001,12.6
Z001E0053,NAMRIL,Z001,14
Z001E0054,NAMRIL,Z001,14.9
Z001E0055,NAMRIL,Z001,17
Z001E0056,NAMRIL,Z001,14.9
Z001E0057,NAMRIL,Z001,14.9
Z001E0058,NAMRIL,Z001,14.5
Z001E0059,NAMRIL,Z001,14.6
Z001E0060,NAMRIL,Z001,15.1
Z001E0061,NAMRIL,Z001,15.3
Z001E0062,NAMRIL,Z001,15
Z001E0063,NAMRIL,Z001,12.4
Z001E0064,NAMRIL,Z001,13.6
Z001E0065,NAMRIL,Z001,16.7
Z001E0066,NAMRIL,Z001,14.4
Z001E0067,NAMRIL,Z001,15.1
Z001E0068,NAMRIL,Z001,13.5
Z001E0069,NAMRIL,Z001,16.5
Z001E0070,NAMRIL,Z001,14.4
Z001E0071,NAMRIL,Z001,13.3
Z001E0072,NAMRIL,Z001,16.9
Z001E0073,NAMRIL,Z001,16.5
Z001E0074,NAMRIL,Z001,17.7
Z001E0075,NAMRIL,Z001,13.6
Z001E0076,NAMRIL,Z001,14.2
Z001E0077,NAMRIL,Z001,15.4
Z001E0078,NAMRIL,Z001,15.1
Z001E0079,NAMRIL,Z001,16.4
Z001E0080,NAMRIL,Z001,13.5
Z001E0081,NAMRIL,Z001,14
Z001E0082,NAMRIL,Z001,16
Z001E0083,NAMRIL,Z001,12.9
Z001E0084,NAMRIL,Z001,14.3
Z001E0085,NAMRIL,Z001,12.6
Z001E0086,NAMRIL,Z001,16.7
Z001E0087,NAMRIL,Z001,14.8
Z001E0088,NAMRIL,Z001,15
Z001E0089,NAMRIL,Z001,15
Z001E0090,NAMRIL,Z001,14
Z001E0091,NAMRIL,Z001,13.5
Z001E0092,NAMRIL,Z001,13.9
Z001E0093,NAMRIL,Z001,14.3
Z001E0094,NAMRIL,Z001,13.5
Z001E0095,NAMRIL,Z001,13
Z001E0096,NAMRIL,Z001,16
Z001E0097,NAMRIL,Z001,14.7
Z001E0098,NAMRIL,Z001,16.5
Z001E0099,NAMRIL,Z001,14.3
Z001E0100,NAMRIL,Z001,15
Z001E0101,NAMRIL,Z001,14.2
Z001E0102,NAMRIL,Z001,14.2
Z001E0103,NAMRIL,Z001,12.8
Z001E0104,NAMRIL,Z001,14.7
Z001E0105,NAMRIL,Z001,15.9
Z001E0106,NAMRIL,Z001,16.6
Z001E0107,NAMRIL,Z001,14.2
Z001E0108,NAMRIL,Z001,14.2
Z001E0109,NAMRIL,Z001,14.8
Z001E0110,NAMRIL,Z001,15.4
Z001E0111,NAMRIL,Z001,17.7
Z001E0112,NAMRIL,Z001,15
Z001E0113,NAMRIL,Z001,15.4
Z001E0114,NAMRIL,Z001,14.5
Z001E0115,NAMRIL,Z001,15.7
Z001E0116,NAMRIL,Z001,15.2
Z001E0117,NAMRIL,Z001,14.5
Z001E0118,NAMRIL,Z001,14.7
Z001E0119,NAMRIL,Z001,15.8
Z001E0120,NAMRIL,Z001,14.2
Z001E0121,NAMRIL,Z001,14.9
Z001E0122,NAMRIL,Z001,15.4
Z001E0123,NAMRIL,Z001,14.1
Z001E0124,NAMRIL,Z001,15.2
Z001E0125,NAMRIL,Z001,14.6
Z001E0126,NAMRIL,Z001,18
Z001E0127,NAMRIL,Z001,16.5
Z001E0128,NAMRIL,Z001,15.1
Z001E0129,NAMRIL,Z001,12.8
Z001E0130,NAMRIL,Z001,15
Z001E0131,NAMRIL,Z001,14.7
Z001E0132,NAMRIL,Z001,19.8
Z001E0133,NAMRIL,Z001,17
Z001E0134,NAMRIL,Z001,16.2
Z001E0135,NAMRIL,Z001,14.7
Z001E0136,NAMRIL,Z001,14.9
Z001E0137,NAMRIL,Z001,17.4
Z001E0138,NAMRIL,Z001,15.9
Z001E0139,NAMRIL,Z001,15.9
Z001E0140,NAMRIL,Z001,17.2
Z001E0141,NAMRIL,Z001,15.9
Z001E0143,NAMRIL,Z001,13
Z001E0144,NAMRIL,Z001,13.8
Z001E0145,NAMRIL,Z001,13.7
Z001E0146,NAMRIL,Z001,15.1
Z001E0147,NAMRIL,Z001,17.1
Z001E0148,NAMRIL,Z001,15
Z001E0149,NAMRIL,Z001,17.8
Z001E0150,NAMRIL,Z001,15
Z001E0151,NAMRIL,Z001,13.8
Z001E0152,NAMRIL,Z001,13.6
Z001E0153,NAMRIL,Z001,14
Z001E0154,NAMRIL,Z001,14
Z001E0156,NAMRIL,Z001,14.6
Z001E0157,NAMRIL,Z001,16.7
Z001E0158,NAMRIL,Z001,12.5
Z001E0159,NAMRIL,Z001,13.9
Z001E0160,NAMRIL,Z001,14
Z001E0161,NAMRIL,Z001,15.3
Z001E0162,NAMRIL,Z001,13.4
Z001E0163,NAMRIL,Z001,14.3
Z001E0164,NAMRIL,Z001,12.8
Z001E0165,NAMRIL,Z001,14.7
Z001E0166,NAMRIL,Z001,13.6
Z001E0167,NAMRIL,Z001,16.6
Z001E0168,NAMRIL,Z001,14.2
Z001E0169,NAMRIL,Z001,14.3
Z001E0170,NAMRIL,Z001,17.2
Z001E0171,NAMRIL,Z001,17.7
Z001E0172,NAMRIL,Z001,16.9
Z001E0173,NAMRIL,Z001,14.1
Z001E0174,NAMRIL,Z001,17.8
Z001E0175,NAMRIL,Z001,15.9
Z001E0176,NAMRIL,Z001,16
Z001E0177,NAMRIL,Z001,17.2
Z001E0178,NAMRIL,Z001,14
Z001E0180,NAMRIL,Z001,16.8
Z001E0181,NAMRIL,Z001,16.4
Z001E0182,NAMRIL,Z001,16.7
Z001E0183,NAMRIL,Z001,15.4
Z001E0184,NAMRIL,Z001,15.7
Z001E0185,NAMRIL,Z001,14.6
Z001E0186,NAMRIL,Z001,14.7
Z001E0187,NAMRIL,Z001,15.2
Z001E0188,NAMRIL,Z001,15.3
Z001E0189,NAMRIL,Z001,15
Z001E0190,NAMRIL,Z001,15.3
Z001E0191,NAMRIL,Z001,14.9
Z001E0192,NAMRIL,Z001,15.5
Z001E0193,NAMRIL,Z001,15.5
Z001E0194,NAMRIL,Z001,13.9
Z001E0195,NAMRIL,Z001,13.8
Z001E0196,NAMRIL,Z001,14.9
Z001E0197,NAMRIL,Z001,15.8
Z001E0198,NAMRIL,Z001,14
Z001E0199,NAMRIL,Z001,12.9
Z002E0001,NAMRIL,Z002,13.8
Z002E0002,NAMRIL,Z002,14.3
Z002E0003,NAMRIL,Z002,12.7
Z002E0004,NAMRIL,Z002,14.1
Z002E0005,NAMRIL,Z002,15.9
Z002E0006,NAMRIL,Z002,12.2
Z002E0007,NAMRIL,Z002,12.7
Z002E0008,NAMRIL,Z002,15.2
Z002E0009,NAMRIL,Z002,13.4
Z002E0010,NAMRIL,Z002,16.2
Z002E0011,NAMRIL,Z002,14.3
Z002E0012,NAMRIL,Z002,14.1
Z002E0013,NAMRIL,Z002,15.5
Z002E0014,NAMRIL,Z002,13.7
Z002E0015,NAMRIL,Z002,15.1
Z002E0016,NAMRIL,Z002,11.8
Z002E0017,NAMRIL,Z002,14.9
Z002E0018,NAMRIL,Z002,11.1
Z002E0019,NAMRIL,Z002,16.5
Z002E0020,NAMRIL,Z002,13.3
Z002E0021,NAMRIL,Z002,13.6
Z002E0022,NAMRIL,Z002,13.9
Z002E0023,NAMRIL,Z002,14.7
Z002E0025,NAMRIL,Z002,13.8
Z002E0026,NAMRIL,Z002,13.7
Z002E0027,NAMRIL,Z002,13.8
Z002E0028,NAMRIL,Z002,15
Z002E0029,NAMRIL,Z002,16.2
Z002E0030,NAMRIL,Z002,17.3
Z002E0031,NAMRIL,Z002,12.7
Z002E0032,NAMRIL,Z002,16.2
Z002E0033,NAMRIL,Z002,15.8
Z002E0034,NAMRIL,Z002,15.4
Z002E0035,NAMRIL,Z002,12.4
Z002E0036,NAMRIL,Z002,14
Z002E0037,NAMRIL,Z002,13.3
Z002E0038,NAMRIL,Z002,15.9
Z002E0039,NAMRIL,Z002,11.3
Z002E0040,NAMRIL,Z002,15.1
Z002E0041,NAMRIL,Z002,14.2
Z002E0042,NAMRIL,Z002,15
Z002E0043,NAMRIL,Z002,14.9
Z002E0044,NAMRIL,Z002,16.6
Z002E0045,NAMRIL,Z002,15
Z002E0046,NAMRIL,Z002,17
Z002E0047,NAMRIL,Z002,13.2
Z002E0048,NAMRIL,Z002,17.6
Z002E0049,NAMRIL,Z002,14.9
Z002E0050,NAMRIL,Z002,18.3
Z002E0051,NAMRIL,Z002,15.8
Z002E0052,NAMRIL,Z002,14.8
Z002E0053,NAMRIL,Z002,17.8
Z002E0054,NAMRIL,Z002,13.7
Z002E0055,NAMRIL,Z002,15.5
Z002E0056,NAMRIL,Z002,15.8
Z002E0057,NAMRIL,Z002,17.1
Z002E0058,NAMRIL,Z002,13.2
Z002E0059,NAMRIL,Z002,19.9
Z002E0060,NAMRIL,Z002,11.8
Z002E0061,NAMRIL,Z002,16.6
Z002E0062,NAMRIL,Z002,12.9
Z002E0063,NAMRIL,Z002,16.9
Z002E0064,NAMRIL,Z002,16.1
Z002E0065,NAMRIL,Z002,16.6
Z002E0066,NAMRIL,Z002,16.5
Z002E0067,NAMRIL,Z002,13.5
Z002E0068,NAMRIL,Z002,12.8
Z002E0069,NAMRIL,Z002,15
Z002E0070,NAMRIL,Z002,15.5
Z002E0071,NAMRIL,Z002,14.3
Z002E0072,NAMRIL,Z002,13.6
Z002E0073,NAMRIL,Z002,12.3
Z002E0074,NAMRIL,Z002,14.2
Z002E0075,NAMRIL,Z002,13.6
Z002E0076,NAMRIL,Z002,17.6
Z002E0077,NAMRIL,Z002,12.5
Z002E0078,NAMRIL,Z002,15.6
Z002E0079,NAMRIL,Z002,15.9
Z002E0080,NAMRIL,Z002,16.6
Z002E0081,NAMRIL,Z002,17
Z002E0082,NAMRIL,Z002,14.2
Z002E0083,NAMRIL,Z002,12.1
Z002E0084,NAMRIL,Z002,15.4
Z002E0085,NAMRIL,Z002,12.8
Z002E0086,NAMRIL,Z002,16.5
Z002E0087,NAMRIL,Z002,12.2
Z002E0088,NAMRIL,Z002,15.6
Z002E0089,NAMRIL,Z002,16.4
Z002E0090,NAMRIL,Z002,14.8
Z002E0091,NAMRIL,Z002,13.4
Z002E0092,NAMRIL,Z002,14.4
Z002E0093,NAMRIL,Z002,14.2
Z002E0094,NAMRIL,Z002,15.4
Z002E0095,NAMRIL,Z002,13.7
Z002E0096,NAMRIL,Z002,14.4
Z002E0097,NAMRIL,Z002,15.6
Z002E0098,NAMRIL,Z002,14.3
Z002E0099,NAMRIL,Z002,15.7
Z002E0100,NAMRIL,Z002,14.6
Z002E0101,NAMRIL,Z002,15.2
Z002E0102,NAMRIL,Z002,14.2
Z002E0103,NAMRIL,Z002,14
Z002E0104,NAMRIL,Z002,14.1
Z002E0105,NAMRIL,Z002,15
Z002E0106,NAMRIL,Z002,15.2
Z002E0107,NAMRIL,Z002,13.9
Z002E0108,NAMRIL,Z002,16.5
Z002E0109,NAMRIL,Z002,14
Z002E0110,NAMRIL,Z002,14.5
Z002E0111,NAMRIL,Z002,14.4
Z002E0112,NAMRIL,Z002,14.1
Z002E0113,NAMRIL,Z002,15.9
Z002E0114,NAMRIL,Z002,15.9
Z002E0115,NAMRIL,Z002,15.1
Z002E0116,NAMRIL,Z002,13.6
Z002E0117,NAMRIL,Z002,16.1
Z002E0119,NAMRIL,Z002,14.3
Z002E0120,NAMRIL,Z002,14.6
Z002E0121,NAMRIL,Z002,17.8
Z002E0122,NAMRIL,Z002,16
Z002E0123,NAMRIL,Z002,13.6
Z002E0124,NAMRIL,Z002,12.5
Z002E0125,NAMRIL,Z002,17.4
Z002E0126,NAMRIL,Z002,14.2
Z002E0127,NAMRIL,Z002,14.9
Z002E0128,NAMRIL,Z002,15.2
Z002E0129,NAMRIL,Z002,17.5
Z002E0130,NAMRIL,Z002,15.4
Z002E0131,NAMRIL,Z002,14.7
Z002E0132,NAMRIL,Z002,16.5
Z002E0133,NAMRIL,Z002,14.6
Z002E0134,NAMRIL,Z002,12.5
Z002E0135,NAMRIL,Z002,15.1
Z002E0136,NAMRIL,Z002,14.1
Z002E0137,NAMRIL,Z002,14.8
Z002E0138,NAMRIL,Z002,17.2
Z002E0139,NAMRIL,Z002,14.1
Z002E0140,NAMRIL,Z002,14.6
Z002E0141,NAMRIL,Z002,17.5
Z002E0142,NAMRIL,Z002,16.3
Z002E0143,NAMRIL,Z002,18.9
Z002E0144,NAMRIL,Z002,13.5
Z002E0145,NAMRIL,Z002,13.2
Z002E0146,NAMRIL,Z002,17.2
Z002E0148,NAMRIL,Z002,11.8
Z002E0149,NAMRIL,Z002,15.7
Z002E0150,NAMRIL,Z002,18.3
Z002E0151,NAMRIL,Z002,12.3
Z002E0152,NAMRIL,Z002,14.6
Z002E0153,NAMRIL,Z002,18
Z002E0154,NAMRIL,Z002,13.8
Z002E0155,NAMRIL,Z002,16.3
Z002E0156,NAMRIL,Z002,14.7
Z002E0157,NAMRIL,Z002,15.4
Z002E0158,NAMRIL,Z002,15.7
Z002E0159,NAMRIL,Z002,13.3
Z002E0160,NAMRIL,Z002,17
Z002E0161,NAMRIL,Z002,15.4
Z002E0162,NAMRIL,Z002,14.9
Z002E0163,NAMRIL,Z002,14.1
Z002E0164,NAMRIL,Z002,16.6
Z002E0165,NAMRIL,Z002,15
Z002E0166,NAMRIL,Z002,13.6
Z002E0167,NAMRIL,Z002,14.1
Z002E0168,NAMRIL,Z002,16.1
Z002E0169,NAMRIL,Z002,15.8
Z002E0170,NAMRIL,Z002,17.6
Z002E0171,NAMRIL,Z002,15.9
Z002E0172,NAMRIL,Z002,15.2
Z002E0173,NAMRIL,Z002,14.9
Z002E0174,NAMRIL,Z002,16.1
Z002E0175,NAMRIL,Z002,13.7
Z002E0176,NAMRIL,Z002,12
Z002E0178,NAMRIL,Z002,17.3
Z002E0179,NAMRIL,Z002,15
Z002E0180,NAMRIL,Z002,15.9
Z002E0181,NAMRIL,Z002,15.6
Z002E0182,NAMRIL,Z002,17.8
Z002E0183,NAMRIL,Z002,13.2
Z002E0184,NAMRIL,Z002,15.3
Z002E0185,NAMRIL,Z002,17.6
Z002E0186,NAMRIL,Z002,14.2
Z002E0187,NAMRIL,Z002,15
Z002E0188,NAMRIL,Z002,13.6
Z002E0189,NAMRIL,Z002,20.8
Z002E0190,NAMRIL,Z002,14.8
Z002E0191,NAMRIL,Z002,17.9
Z002E0192,NAMRIL,Z002,13.9
Z002E0193,NAMRIL,Z002,17.3
Z002E0194,NAMRIL,Z002,15.7
Z002E0195,NAMRIL,Z002,15.3
Z002E0196,NAMRIL,Z002,14.7
Z002E0197,NAMRIL,Z002,13.9
Z002E0198,NAMRIL,Z002,17.7
Z002E0199,NAMRIL,Z002,14.8
Z002E0200,NAMRIL,Z002,13.3
Z003E0001,NAMRIL,Z003,15.1
Z003E0002,NAMRIL,Z003,13.6
Z003E0003,NAMRIL,Z003,14.2
Z003E0004,NAMRIL,Z003,14.8
Z003E0006,NAMRIL,Z003,12.9
Z003E0007,NAMRIL,Z003,17.2
Z003E0008,NAMRIL,Z003,12.9
Z003E0009,NAMRIL,Z003,14.9
Z003E0010,NAMRIL,Z003,14.9
Z003E0011,NAMRIL,Z003,13.8
Z003E0012,NAMRIL,Z003,16.6
Z003E0013,NAMRIL,Z003,13.5
Z003E0014,NAMRIL,Z003,15
Z003E0016,NAMRIL,Z003,13.8
Z003E0017,NAMRIL,Z003,13.2
Z003E0018,NAMRIL,Z003,14.7
Z003E0019,NAMRIL,Z003,13.9
Z003E0020,NAMRIL,Z003,15.7
Z003E0021,NAMRIL,Z003,13.7
Z003E0022,NAMRIL,Z003,16.6
Z003E0023,NAMRIL,Z003,11.8
Z003E0024,NAMRIL,Z003,13.2
Z003E0026,NAMRIL,Z003,13.3
Z003E0027,NAMRIL,Z003,11.9
Z003E0028,NAMRIL,Z003,13.7
Z003E0029,NAMRIL,Z003,15.8
Z003E0030,NAMRIL,Z003,13.4
Z003E0031,NAMRIL,Z003,14.6
Z003E0032,NAMRIL,Z003,14.3
Z003E0033,NAMRIL,Z003,13.9
Z003E0034,NAMRIL,Z003,17.7
Z003E0035,NAMRIL,Z003,13.2
Z003E0036,NAMRIL,Z003,15.4
Z003E0037,NAMRIL,Z003,15.1
Z003E0038,NAMRIL,Z003,15.3
Z003E0039,NAMRIL,Z003,12.4
Z003E0040,NAMRIL,Z003,12.6
Z003E0041,NAMRIL,Z003,13.6
Z003E0042,NAMRIL,Z003,14.4
Z003E0043,NAMRIL,Z003,15.6
Z003E0044,NAMRIL,Z003,14.5
Z003E0045,NAMRIL,Z003,15.4
Z003E0046,NAMRIL,Z003,14.2
Z003E0047,NAMRIL,Z003,17.3
Z003E0048,NAMRIL,Z003,14.9
Z003E0049,NAMRIL,Z003,13.3
Z003E0050,NAMRIL,Z003,15.5
Z003E0051,NAMRIL,Z003,14.3
Z003E0052,NAMRIL,Z003,15.6
Z003E0053,NAMRIL,Z003,14.7
Z003E0054,NAMRIL,Z003,14.5
Z003E0055,NAMRIL,Z003,13.1
Z003E0056,NAMRIL,Z003,15.2
Z003E0057,NAMRIL,Z003,13.3
Z003E0058,NAMRIL,Z003,12.7
Z003E0059,NAMRIL,Z003,13.9
Z003E0061,NAMRIL,Z003,15.6
Z003E0062,NAMRIL,Z003,12.9
Z003E0063,NAMRIL,Z003,12.3
Z003E0065,NAMRIL,Z003,15.5
Z003E0066,NAMRIL,Z003,15.3
Z003E0067,NAMRIL,Z003,14.9
Z003E0068,NAMRIL,Z003,14.9
Z003E0069,NAMRIL,Z003,13
Z003E0070,NAMRIL,Z003,16.9
Z003E0071,NAMRIL,Z003,16.4
Z003E0072,NAMRIL,Z003,12
Z003E0073,NAMRIL,Z003,15.4
Z003E0074,NAMRIL,Z003,12
Z003E0075,NAMRIL,Z003,15
Z003E0076,NAMRIL,Z003,16.7
Z003E0077,NAMRIL,Z003,15.4
Z003E0078,NAMRIL,Z003,14.5
Z003E0079,NAMRIL,Z003,15.4
Z003E0080,NAMRIL,Z003,14.2
Z003E0081,NAMRIL,Z003,16.2
Z003E0082,NAMRIL,Z003,13.4
Z003E0083,NAMRIL,Z003,17.4
Z003E0084,NAMRIL,Z003,15.1
Z003E0085,NAMRIL,Z003,14.2
Z003E0086,NAMRIL,Z003,13.2
Z003E0087,NAMRIL,Z003,13.2
Z003E0088,NAMRIL,Z003,12.3
Z003E0089,NAMRIL,Z003,14.7
Z003E0090,NAMRIL,Z003,16.8
Z003E0091,NAMRIL,Z003,15.9
Z003E0092,NAMRIL,Z003,13.7
Z003E0093,NAMRIL,Z003,17.5
Z003E0094,NAMRIL,Z003,15.4
Z003E0095,NAMRIL,Z003,14.5
Z003E0096,NAMRIL,Z003,14.4
Z003E0097,NAMRIL,Z003,17.3
Z003E0098,NAMRIL,Z003,15.1
Z003E0099,NAMRIL,Z003,11.7
Z003E0100,NAMRIL,Z003,15.3
Z003E0101,NAMRIL,Z003,15.3
Z003E0102,NAMRIL,Z003,13.9
Z003E0103,NAMRIL,Z003,14.8
Z003E0104,NAMRIL,Z003,16.4
Z003E0105,NAMRIL,Z003,15.3
Z003E0106,NAMRIL,Z003,13.9
Z003E0107,NAMRIL,Z003,14.4
Z003E0108,NAMRIL,Z003,14
Z003E0109,NAMRIL,Z003,15.1
Z003E0110,NAMRIL,Z003,14.8
Z003E0111,NAMRIL,Z003,15.2
Z003E0112,NAMRIL,Z003,15
Z003E0113,NAMRIL,Z003,12.3
Z003E0114,NAMRIL,Z003,13.5
Z003E0115,NAMRIL,Z003,14.2
Z003E0116,NAMRIL,Z003,13.9
Z003E0117,NAMRIL,Z003,17
Z003E0118,NAMRIL,Z003,16.5
Z003E0119,NAMRIL,Z003,16.5
Z003E0120,NAMRIL,Z003,17
Z003E0121,NAMRIL,Z003,15.9
Z003E0122,NAMRIL,Z003,14.1
Z003E0123,NAMRIL,Z003,17.2
Z003E0124,NAMRIL,Z003,17.2
Z003E0125,NAMRIL,Z003,15.8
Z003E0126,NAMRIL,Z003,17.1
Z003E0127,NAMRIL,Z003,14.3
Z003E0128,NAMRIL,Z003,14.2
Z003E0129,NAMRIL,Z003,17
Z003E0130,NAMRIL,Z003,16.1
Z003E0131,NAMRIL,Z003,12.5
Z003E0132,NAMRIL,Z003,15.3
Z003E0133,NAMRIL,Z003,13.1
Z003E0134,NAMRIL,Z003,14.4
Z003E0135,NAMRIL,Z003,15.6
Z003E0136,NAMRIL,Z003,12.4
Z003E0137,NAMRIL,Z003,15.8
Z003E0138,NAMRIL,Z003,15.5
Z003E0139,NAMRIL,Z003,14.1
Z003E0140,NAMRIL,Z003,14.8
Z003E0141,NAMRIL,Z003,13.2
Z003E0142,NAMRIL,Z003,15.1
Z003E0143,NAMRIL,Z003,14.8
Z003E0144,NAMRIL,Z003,15.5
Z003E0145,NAMRIL,Z003,14.7
Z003E0146,NAMRIL,Z003,14.3
Z003E0147,NAMRIL,Z003,14.8
Z003E0148,NAMRIL,Z003,17.4
Z003E0149,NAMRIL,Z003,18
Z003E0150,NAMRIL,Z003,16.6
Z003E0151,NAMRIL,Z003,14.4
Z003E0152,NAMRIL,Z003,15.2
Z003E0153,NAMRIL,Z003,14.7
Z003E0154,NAMRIL,Z003,14.9
Z003E0155,NAMRIL,Z003,14.8
Z003E0156,NAMRIL,Z003,15.9
Z003E0157,NAMRIL,Z003,16.6
Z003E0158,NAMRIL,Z003,16
Z003E0160,NAMRIL,Z003,14.7
Z003E0161,NAMRIL,Z003,17.6
Z003E0163,NAMRIL,Z003,13.8
Z003E0164,NAMRIL,Z003,16.5
Z003E0166,NAMRIL,Z003,12.8
Z003E0167,NAMRIL,Z003,14.1
Z003E0168,NAMRIL,Z003,14.4
Z003E0169,NAMRIL,Z003,14.6
Z003E0171,NAMRIL,Z003,12.3
Z003E0172,NAMRIL,Z003,15.8
Z003E0173,NAMRIL,Z003,16.7
Z003E0174,NAMRIL,Z003,15.1
Z003E0175,NAMRIL,Z003,15
Z003E0176,NAMRIL,Z003,15.6
Z003E0177,NAMRIL,Z003,14.6
Z003E0178,NAMRIL,Z003,15.2
Z003E0179,NAMRIL,Z003,15.1
Z003E0180,NAMRIL,Z003,17.7
Z003E0181,NAMRIL,Z003,14.5
Z003E0182,NAMRIL,Z003,17.2
Z003E0183,NAMRIL,Z003,15.3
Z003E0184,NAMRIL,Z003,14.2
Z003E0185,NAMRIL,Z003,12.4
Z003E0186,NAMRIL,Z003,16.2
Z003E0187,NAMRIL,Z003,16.6
Z003E0188,NAMRIL,Z003,14.5
Z003E0189,NAMRIL,Z003,15.2
Z003E0190,NAMRIL,Z003,13.4
Z003E0191,NAMRIL,Z003,14.7
Z003E0192,NAMRIL,Z003,13.4
Z003E0193,NAMRIL,Z003,15.2
Z003E0194,NAMRIL,Z003,13
Z003E0195,NAMRIL,Z003,13.6
Z003E0196,NAMRIL,Z003,14.5
Z003E0197,NAMRIL,Z003,16.4
Z003E0198,NAMRIL,Z003,15.5
Z003E0199,NAMRIL,Z003,17.7
Z003E0200,NAMRIL,Z003,13.9
Z004E0001,NAMRIL,Z004,18.3
Z004E0002,NAMRIL,Z004,17.9
Z004E0003,NAMRIL,Z004,16.9
Z004E0004,NAMRIL,Z004,17.3
Z004E0005,NAMRIL,Z004,16.2
Z004E0006,NAMRIL,Z004,14.7
Z004E0008,NAMRIL,Z004,19.1
Z004E0009,NAMRIL,Z004,14.4
Z004E0010,NAMRIL,Z004,16.9
Z004E0011,NAMRIL,Z004,15.1
Z004E0012,NAMRIL,Z004,15.6
Z004E0013,NAMRIL,Z004,17.8
Z004E0014,NAMRIL,Z004,16
Z004E0015,NAMRIL,Z004,15.8
Z004E0016,NAMRIL,Z004,15.8
Z004E0017,NAMRIL,Z004,17.1
Z004E0018,NAMRIL,Z004,17.7
Z004E0019,NAMRIL,Z004,17.9
Z004E0020,NAMRIL,Z004,16.6
Z004E0021,NAMRIL,Z004,16.4
Z004E0022,NAMRIL,Z004,19.6
Z004E0023,NAMRIL,Z004,17.5
